,element,pos_prob,pri_prob
0,"(9, 7, 4, 1)",2.93447872027e-35,3.13010593308e-34
1,"(9, 8, 3, 6)",-1.0,3.42212753297e-34
2,"(7, 6, 4, 8)",-1.0,2.39504085398e-37
3,"(3, 2, 8, 1)",-1.0,3.42212959235e-34
4,"(7, 6, 2, 1)",1.01040874393e-37,2.39504045888e-37
5,"(9, 8, 4, 6)",-1.0,2.81709533341e-33
6,"(9, 2, 8, 6)",-1.0,2.5353853761e-32
7,"(9, 7, 3, 1)",1.60412456897e-35,3.8023639341e-35
8,"(9, 7, 3, 6)",3.81934419845e-36,9.0532474641e-36
9,"(7, 2, 4, 8)",-1.0,6.70737387928e-34
10,"(7, 8, 2, 3)",-1.0,8.14792760259e-35
11,"(7, 6, 8, 1)",-1.0,3.23269747242e-39
12,"(9, 8, 2, 1)",-1.0,1.06486185773e-31
13,"(1, 8, 4, 3)",-1.0,3.80236684956e-35
14,"(3, 7, 8, 1)",-1.0,1.22195964155e-37
15,"(1, 6, 4, 3)",9.43047483398e-38,1.00591715846e-36
16,"(9, 7, 8, 3)",-1.0,3.42212753297e-34
17,"(1, 6, 8, 3)",-1.0,1.22195964155e-37
18,"(1, 7, 4, 8)",-1.0,1.00591715846e-36
19,"(9, 7, 2, 6)",9.43226009416e-35,6.70736873641e-34
20,"(3, 7, 4, 8)",-1.0,9.05325440567e-36
21,"(3, 7, 2, 1)",5.72901777273e-36,9.0532529122e-36
22,"(3, 7, 4, 1)",4.24371367529e-37,1.00591715846e-36
23,"(1, 7, 8, 6)",-1.0,3.23269747242e-39
24,"(7, 8, 3, 1)",-1.0,1.22195964155e-37
25,"(1, 6, 4, 8)",-1.0,1.00591715846e-36
26,"(3, 8, 2, 6)",-1.0,8.14792760259e-35
27,"(1, 6, 3, 8)",-1.0,1.22195964155e-37
28,"(7, 2, 3, 8)",-1.0,8.14792760259e-35
29,"(3, 8, 4, 6)",-1.0,9.05325440567e-36
30,"(9, 6, 3, 8)",-1.0,3.42212753297e-34
31,"(1, 7, 3, 6)",1.36379430298e-39,3.23269747242e-39
32,"(1, 2, 4, 8)",-1.0,2.81709702869e-33
33,"(9, 6, 3, 1)",1.06941637932e-35,3.8023639341e-35
34,"(1, 7, 3, 8)",-1.0,1.22195964155e-37
35,"(1, 7, 2, 8)",-1.0,9.0532529122e-36
