,element,pos_prob,pri_prob
0,"(9, 2, 8, 1)",-1.0,5.69604666487e-53
1,"(3, 7, 4, 8)",-1.0,4.84266667465e-57
2,"(7, 8, 4, 1)",-1.0,2.25991111484e-57
3,"(3, 7, 4, 1)",1.4184833275e-60,7.26263463667e-60
4,"(3, 2, 8, 1)",-1.0,1.03771428743e-56
5,"(7, 2, 3, 6)",2.41238661136e-62,3.70542583504e-60
6,"(7, 8, 3, 1)",-1.0,8.82244246438e-61
7,"(9, 2, 4, 8)",-1.0,3.12657809587e-49
8,"(9, 8, 3, 6)",-1.0,4.35840000718e-56
9,"(9, 8, 4, 6)",-1.0,1.11642514631e-52
10,"(9, 2, 8, 6)",-1.0,5.69604666487e-53
11,"(7, 2, 8, 1)",-1.0,1.15301587492e-57
12,"(3, 8, 4, 6)",-1.0,2.03392000335e-56
13,"(7, 2, 3, 8)",-1.0,2.4707483034e-57
14,"(7, 8, 4, 6)",-1.0,2.25991111484e-57
15,"(7, 2, 4, 8)",-1.0,6.32894073875e-54
16,"(9, 7, 8, 6)",-1.0,4.84266667465e-57
17,"(7, 8, 3, 6)",-1.0,8.82244246438e-61
18,"(9, 7, 8, 1)",-1.0,4.84266667465e-57
19,"(3, 2, 4, 8)",-1.0,5.69604666488e-53
20,"(3, 8, 4, 1)",-1.0,2.03392000335e-56
21,"(3, 7, 8, 1)",-1.0,8.82244246438e-61
22,"(9, 7, 3, 8)",-1.0,1.03771428742e-56
23,"(9, 7, 4, 8)",-1.0,2.65815511027e-53
24,"(3, 2, 8, 6)",-1.0,1.03771428743e-56
25,"(3, 7, 4, 6)",2.36413887916e-60,7.26263463667e-60
26,"(9, 8, 3, 1)",-1.0,4.35840000718e-56
27,"(3, 7, 8, 6)",-1.0,8.82244246438e-61
