,element,pos_prob,pri_prob
0,"(5, 2, 8, 3)",-0.0,1.1827803045e-21
1,"(8, 2, 6, 3)",2.70236648005e-25,2.39529363896e-26
2,"(8, 1, 6, 3)",1.05991651932e-21,2.81709687809e-22
3,"(1, 9, 5, 6)",-0.0,2.81614958742e-22
4,"(5, 1, 6, 7)",-0.0,1.43681148296e-22
5,"(8, 9, 6, 7)",0.0,2.15576815855e-25
6,"(8, 2, 5, 7)",-0.0,1.43681148296e-22
7,"(5, 1, 8, 6)",-0.0,4.47044910909e-20
8,"(1, 2, 5, 3)",-0.0,1.1827803045e-21
9,"(8, 1, 5, 6)",-1.0,4.47044910909e-20
10,"(1, 9, 6, 3)",0.0,1.77462398461e-24
11,"(5, 2, 8, 6)",-0.0,3.80108983741e-24
12,"(8, 9, 5, 7)",-0.0,1.06450419169e-20
13,"(1, 9, 5, 7)",-0.0,1.06450419169e-20
14,"(5, 1, 6, 3)",-1.0,1.1827803045e-21
15,"(5, 2, 6, 3)",-1.0,1.00568289352e-25
16,"(5, 9, 8, 7)",-0.0,1.06450419169e-20
17,"(8, 2, 5, 3)",-1.0,1.1827803045e-21
18,"(5, 9, 6, 7)",-0.0,9.05116234676e-25
19,"(1, 2, 8, 6)",0.0,9.05327749669e-25
20,"(1, 2, 8, 3)",0.0,2.81709687809e-22
21,"(1, 2, 5, 7)",-0.0,1.43681148296e-22
22,"(5, 1, 8, 3)",-0.0,1.39106398025e-17
23,"(1, 9, 6, 7)",0.0,2.15576815855e-25
24,"(8, 1, 5, 3)",-1.0,1.39106398025e-17
25,"(5, 2, 8, 7)",-0.0,1.43681148296e-22
26,"(8, 9, 5, 6)",-0.0,2.81614958742e-22
27,"(1, 2, 6, 3)",0.0,2.39529363896e-26
28,"(1, 9, 5, 3)",-0.0,8.76297695928e-20
29,"(5, 2, 6, 7)",-0.0,1.22167804461e-26
30,"(8, 1, 6, 7)",0.0,3.42213776102e-23
31,"(5, 9, 8, 6)",-0.0,2.81614958742e-22
32,"(5, 9, 6, 3)",-0.0,7.45089852329e-24
33,"(1, 2, 8, 7)",0.0,3.42213776102e-23
34,"(8, 2, 5, 6)",-1.0,3.80108983741e-24
35,"(1, 2, 5, 6)",-0.0,3.80108983741e-24
