,element,pos_prob,pri_prob
0,"(5, 2, 8, 3)",-1.0,1.78271142555e-11
1,"(9, 2, 3, 7)",3.66946922373e-13,1.66249402842e-15
2,"(9, 1, 8, 2)",4.7230269277e-13,4.30416239284e-12
3,"(5, 7, 8, 2)",-1.0,9.09764791451e-12
4,"(5, 7, 6, 3)",-1.0,1.46979690884e-14
5,"(8, 2, 6, 3)",1.15671683648e-13,6.48344200788e-15
6,"(8, 9, 3, 7)",3.62070492532e-10,4.3200598389e-12
7,"(8, 1, 6, 3)",6.27390499251e-12,1.02482224945e-12
8,"(1, 9, 5, 6)",-1.0,2.58198783374e-13
9,"(5, 1, 6, 7)",-1.0,1.31765668264e-13
10,"(9, 2, 8, 6)",1.45130365428e-14,6.48344200788e-15
11,"(8, 7, 6, 2)",1.16674265411e-13,3.3086719374e-15
12,"(9, 2, 8, 3)",3.2540545248e-12,4.80113269524e-13
13,"(9, 7, 3, 6)",2.03859400532e-13,3.95840285379e-16
14,"(9, 2, 6, 7)",1.47292021316e-14,2.24502930994e-17
15,"(1, 9, 3, 2)",1.76006850868e-14,2.92049828738e-14
16,"(5, 9, 6, 2)",-1.0,1.63347042808e-15
17,"(8, 9, 6, 2)",1.28524092942e-14,6.48344200788e-15
18,"(9, 7, 5, 2)",-1.0,6.17301642654e-14
19,"(8, 9, 6, 7)",1.45334628669e-11,5.83380198258e-14
20,"(8, 2, 5, 7)",-1.0,9.09764791451e-12
21,"(5, 1, 3, 2)",-1.0,1.08441194936e-12
22,"(5, 1, 3, 7)",-1.0,9.7575401653e-12
23,"(1, 9, 8, 7)",5.34078357617e-10,3.87288589459e-11
24,"(5, 7, 3, 6)",-1.0,1.46979690884e-14
25,"(9, 7, 8, 3)",1.22655811115e-09,4.3200598389e-12
26,"(9, 1, 8, 7)",5.34078357617e-10,3.87288589459e-11
27,"(9, 1, 5, 6)",-1.0,2.58198783374e-13
28,"(8, 2, 3, 6)",1.28524092942e-14,6.48344200788e-15
29,"(5, 1, 8, 6)",-1.0,3.80527356609e-11
30,"(1, 2, 6, 3)",6.35840306168e-15,3.94383627412e-16
31,"(1, 2, 5, 3)",-1.0,1.08441194936e-12
32,"(8, 1, 5, 6)",-1.0,3.80527356609e-11
33,"(1, 9, 6, 3)",2.64010275284e-13,6.95371445408e-15
34,"(1, 2, 3, 7)",4.79337443173e-13,1.49040752041e-14
35,"(8, 1, 3, 2)",4.18260334446e-13,4.30416239284e-12
36,"(5, 9, 3, 6)",-1.0,2.88011117515e-14
37,"(1, 7, 8, 6)",7.14594546137e-12,5.22993899452e-13
38,"(9, 1, 5, 2)",-1.0,1.08441194936e-12
39,"(9, 2, 5, 7)",-1.0,6.17301642654e-14
40,"(5, 2, 8, 6)",-1.0,2.40737069312e-13
41,"(8, 9, 5, 7)",-1.0,1.60408397824e-10
42,"(8, 9, 5, 2)",-1.0,1.78271142555e-11
43,"(1, 7, 3, 6)",2.66298578514e-13,3.54866440495e-15
44,"(5, 7, 6, 2)",-1.0,8.33603163163e-16
45,"(8, 2, 6, 7)",3.50022796234e-13,3.3086719374e-15
46,"(1, 9, 5, 2)",-1.0,1.08441194936e-12
47,"(1, 9, 5, 7)",-1.0,9.7575401653e-12
48,"(5, 1, 6, 3)",-1.0,2.58198783374e-13
49,"(5, 2, 6, 3)",-1.0,1.63347042808e-15
50,"(9, 2, 8, 7)",9.84677691156e-12,2.4501449997e-13
51,"(9, 7, 3, 2)",1.22315640791e-13,1.66249402842e-15
52,"(1, 7, 5, 2)",-1.0,5.53404099409e-13
53,"(8, 7, 6, 3)",4.36003886006e-11,5.83380198258e-14
54,"(1, 9, 3, 6)",2.93344750316e-14,6.95371445408e-15
55,"(9, 7, 5, 6)",-1.0,1.46979690884e-14
56,"(5, 9, 8, 7)",-1.0,1.60408397824e-10
57,"(9, 7, 5, 3)",-1.0,1.08841723051e-12
58,"(5, 9, 8, 2)",-1.0,1.78271142555e-11
59,"(1, 7, 5, 6)",-1.0,1.31765668264e-13
60,"(8, 2, 5, 3)",-1.0,1.78271142555e-11
61,"(5, 9, 6, 7)",-1.0,1.46979690884e-14
62,"(1, 2, 8, 6)",1.89581691656e-14,5.81233409653e-14
63,"(1, 2, 8, 3)",4.25072423493e-12,4.30416239284e-12
64,"(1, 9, 8, 6)",7.87171151581e-13,1.02482224945e-12
65,"(5, 2, 3, 7)",-1.0,6.17301642654e-14
66,"(9, 7, 8, 2)",3.28225897052e-12,2.4501449997e-13
67,"(9, 1, 5, 7)",-1.0,9.7575401653e-12
68,"(8, 2, 3, 7)",8.72007775373e-12,2.4501449997e-13
69,"(8, 7, 3, 2)",2.90669258458e-12,2.4501449997e-13
70,"(1, 2, 5, 7)",-1.0,5.53404099409e-13
71,"(9, 1, 6, 3)",2.64010275284e-13,6.95371445408e-15
72,"(8, 7, 5, 3)",-1.0,1.60408397824e-10
73,"(5, 1, 8, 3)",-1.0,2.81788952693e-09
74,"(8, 7, 5, 6)",-1.0,2.16615247044e-12
75,"(1, 9, 6, 7)",7.98895735542e-13,3.54866440495e-15
76,"(1, 9, 6, 2)",7.06489229075e-16,3.94383627412e-16
77,"(1, 2, 3, 6)",7.06489229075e-16,3.94383627412e-16
78,"(5, 9, 3, 2)",-1.0,1.20962110395e-13
79,"(8, 1, 5, 3)",-1.0,2.81788952693e-09
80,"(5, 9, 3, 7)",-1.0,1.08841723051e-12
81,"(8, 1, 3, 7)",4.72967433591e-10,3.87288589459e-11
82,"(9, 2, 5, 6)",-1.0,1.63347042808e-15
83,"(9, 7, 6, 3)",1.83473460479e-12,3.95840285379e-16
84,"(1, 7, 8, 3)",1.60223507285e-09,3.87288589459e-11
85,"(9, 1, 3, 6)",2.93344750316e-14,6.95371445408e-15
86,"(5, 2, 3, 6)",-1.0,1.63347042808e-15
87,"(5, 2, 8, 7)",-1.0,9.09764791451e-12
88,"(8, 9, 5, 6)",-1.0,4.24464080696e-12
89,"(1, 7, 3, 2)",1.59779147724e-13,1.49040752041e-14
90,"(9, 1, 8, 6)",7.87171151581e-13,1.02482224945e-12
91,"(5, 7, 8, 3)",-1.0,1.60408397824e-10
92,"(8, 9, 3, 2)",3.20190597796e-13,4.80113269524e-13
93,"(5, 7, 8, 6)",-1.0,2.16615247044e-12
94,"(1, 9, 5, 3)",-1.0,1.91201929349e-11
95,"(5, 1, 6, 2)",-1.0,1.46438818351e-14
96,"(8, 1, 6, 2)",1.67889158734e-14,5.81233409653e-14
97,"(5, 2, 6, 7)",-1.0,8.33603163163e-16
98,"(8, 1, 6, 7)",1.89848517764e-11,5.22993899452e-13
99,"(9, 1, 6, 7)",7.98895735542e-13,3.54866440495e-15
100,"(9, 1, 6, 2)",7.06489229075e-16,3.94383627412e-16
101,"(1, 9, 3, 7)",1.99027977778e-11,2.62786474812e-13
102,"(5, 9, 8, 6)",-1.0,4.24464080696e-12
103,"(5, 9, 6, 3)",-1.0,2.88011117515e-14
104,"(1, 2, 8, 7)",1.28627018801e-11,2.19652791001e-12
105,"(8, 2, 5, 6)",-1.0,2.40737069312e-13
106,"(1, 9, 8, 2)",4.7230269277e-13,4.30416239284e-12
107,"(5, 1, 3, 6)",-1.0,2.58198783374e-13
108,"(9, 7, 8, 6)",5.47043159644e-12,5.83380198258e-14
109,"(9, 1, 3, 2)",1.76006850868e-14,2.92049828738e-14
110,"(9, 1, 5, 3)",-1.0,1.91201929349e-11
111,"(8, 7, 3, 6)",4.84448762229e-12,5.83380198258e-14
112,"(5, 7, 3, 2)",-1.0,6.17301642654e-14
113,"(1, 2, 5, 6)",-1.0,1.46438818351e-14
114,"(1, 7, 6, 3)",2.39668720663e-12,3.54866440495e-15
115,"(8, 7, 5, 2)",-1.0,9.09764791451e-12
116,"(1, 7, 5, 3)",-1.0,9.7575401653e-12
117,"(9, 1, 3, 7)",1.99027977778e-11,2.62786474812e-13
118,"(8, 1, 3, 6)",6.97100554723e-13,1.02482224945e-12
119,"(9, 7, 6, 2)",4.90973404388e-15,2.24502930994e-17
120,"(1, 7, 8, 2)",4.28756729335e-12,2.19652791001e-12
121,"(9, 2, 5, 3)",-1.0,1.20962110395e-13
