,element,pos_prob,pri_prob
0,"(9, 2, 8, 1)",-1.0,2.27789788454e-55
1,"(3, 7, 4, 8)",-1.0,6.22369251934e-62
2,"(7, 8, 4, 1)",-1.0,5.12334368192e-61
3,"(3, 7, 4, 1)",1.51917057741e-65,9.33378402762e-65
4,"(3, 2, 8, 1)",-1.0,2.35255577231e-60
5,"(7, 8, 3, 1)",-1.0,4.76213470797e-65
6,"(9, 2, 4, 8)",-1.0,2.97701280901e-52
7,"(9, 8, 3, 6)",-1.0,2.35255577231e-60
8,"(9, 8, 4, 6)",-1.0,2.53099764949e-56
9,"(9, 2, 8, 6)",-1.0,1.29132533137e-56
10,"(7, 2, 8, 1)",-1.0,2.61395085812e-61
11,"(3, 8, 4, 6)",-1.0,2.61395085812e-61
12,"(7, 2, 3, 8)",-1.0,3.1753533262e-62
13,"(7, 8, 4, 6)",-1.0,2.90438984236e-62
14,"(7, 2, 4, 8)",-1.0,3.41620458036e-58
15,"(9, 7, 8, 6)",-1.0,2.61395085812e-61
16,"(7, 8, 3, 6)",-1.0,2.69962285032e-66
17,"(9, 7, 8, 1)",-1.0,4.61100931373e-60
18,"(9, 7, 3, 8)",-1.0,5.60132326741e-61
19,"(3, 8, 4, 1)",-1.0,4.61100931373e-60
20,"(3, 7, 8, 1)",-1.0,4.76213470797e-65
21,"(3, 2, 4, 8)",-1.0,3.07458412232e-57
22,"(9, 7, 4, 8)",-1.0,6.02618487975e-57
23,"(3, 2, 8, 6)",-1.0,1.333648397e-61
24,"(9, 8, 3, 1)",-1.0,4.14990838236e-59
25,"(3, 7, 8, 6)",-1.0,2.69962285032e-66
