,element,pos_prob,pri_prob
0,"(5, 2, 8, 3)",1.00046885872e-07,5.43012111559e-10
1,"(9, 2, 3, 7)",3.66845049622e-12,9.43402029019e-13
2,"(9, 1, 8, 2)",2.34230090213e-09,1.32306030423e-10
3,"(5, 7, 8, 2)",3.02742120136e-07,2.77511428375e-10
4,"(5, 7, 6, 3)",7.4388402209e-10,8.26470380633e-12
5,"(8, 2, 6, 3)",1.10053804327e-12,8.39455198427e-13
6,"(8, 9, 3, 7)",3.44581313637e-10,2.33900898812e-09
7,"(8, 1, 6, 3)",1.3016396385e-10,1.32306030423e-10
8,"(1, 9, 5, 6)",2.59277324869e-10,3.45188682478e-11
9,"(1, 7, 8, 3)",8.83133939731e-08,4.99266586282e-09
10,"(5, 1, 6, 7)",7.06116434461e-09,1.76411911069e-11
11,"(9, 2, 8, 6)",1.10053804327e-12,8.39455198427e-13
12,"(8, 7, 6, 2)",3.33023079737e-12,4.29011445994e-13
13,"(9, 2, 8, 3)",2.46758201762e-10,6.19839185809e-11
14,"(9, 7, 3, 6)",2.03859400532e-13,9.43402029019e-13
15,"(1, 2, 8, 6)",1.04466284532e-11,1.79183548838e-12
16,"(9, 2, 6, 7)",1.47251129726e-13,1.27766000537e-14
17,"(1, 2, 8, 7)",7.08780823041e-09,6.76162367354e-11
18,"(1, 9, 3, 2)",3.8358642053e-12,3.94027071115e-12
19,"(8, 2, 5, 6)",1.48735892366e-10,7.35407425495e-12
20,"(9, 7, 5, 6)",2.47961340697e-10,8.26470380633e-12
21,"(5, 9, 6, 2)",6.57657967697e-12,2.19015288281e-13
22,"(8, 9, 6, 2)",3.66846014424e-13,8.39455198427e-13
23,"(9, 7, 5, 2)",4.46206503574e-09,8.26470380633e-12
24,"(8, 9, 6, 7)",1.38314494819e-11,3.16774624645e-11
25,"(8, 2, 5, 7)",1.00914040045e-07,2.77511428375e-10
26,"(5, 1, 3, 2)",4.66569620333e-09,3.45188682478e-11
27,"(1, 9, 8, 2)",7.80766967378e-10,1.32306030423e-10
28,"(5, 1, 3, 7)",1.75913976974e-07,1.30259501077e-09
29,"(1, 9, 8, 7)",2.9437797991e-08,4.99266586282e-09
30,"(5, 7, 3, 6)",8.26537802322e-11,8.26470380633e-12
31,"(9, 1, 8, 7)",8.83133939731e-08,4.99266586282e-09
