,element,pos_prob,pri_prob
0,"(5, 2, 8, 3)",-1.0,9.56993926967e-20
1,"(9, 1, 8, 2)",0.0,5.43067862292e-21
2,"(5, 7, 8, 2)",-0.0,1.16253764121e-20
3,"(5, 7, 6, 3)",-0.0,3.07644669882e-22
4,"(8, 2, 6, 3)",3.38070472678e-25,1.93976652198e-24
5,"(8, 9, 3, 7)",0.0,5.4323512467e-21
6,"(8, 1, 6, 3)",4.6075773581e-21,2.28087043016e-20
7,"(1, 9, 5, 6)",-1.0,2.27857154563e-20
8,"(5, 1, 6, 7)",-1.0,1.16253764121e-20
9,"(9, 2, 8, 3)",0.0,1.43713138651e-22
10,"(9, 7, 3, 6)",0.0,4.61994374806e-25
11,"(9, 2, 6, 7)",0.0,1.48471522114e-27
12,"(1, 9, 3, 2)",0.0,1.43713138651e-22
13,"(5, 9, 6, 2)",-0.0,1.93781143536e-24
14,"(9, 7, 5, 2)",-0.0,7.32491995201e-23
15,"(8, 9, 6, 7)",3.03476306279e-24,1.74579930458e-23
16,"(8, 2, 5, 7)",-1.0,1.16253764121e-20
17,"(5, 1, 3, 2)",-0.0,9.56993926967e-20
18,"(5, 1, 3, 7)",-0.0,3.61743345182e-18
19,"(1, 9, 8, 7)",8.97078984789e-19,2.05279448104e-19
20,"(5, 7, 3, 6)",-0.0,3.07644669882e-22
21,"(9, 7, 8, 3)",0.0,5.4323512467e-21
22,"(9, 1, 8, 7)",0.0,2.05279448104e-19
23,"(9, 1, 5, 6)",-0.0,2.27857154563e-20
24,"(8, 2, 3, 6)",0.0,1.93976652198e-24
25,"(5, 1, 8, 6)",-1.0,3.61631964218e-18
26,"(8, 9, 3, 2)",0.0,1.43713138651e-22
27,"(1, 2, 5, 3)",-1.0,9.56993926967e-20
28,"(8, 1, 5, 6)",-1.0,3.61631964218e-18
29,"(1, 9, 6, 3)",2.09236844556e-22,1.43713138651e-22
30,"(1, 2, 3, 7)",0.0,7.33231017209e-23
31,"(8, 1, 3, 2)",0.0,2.28087043016e-20
32,"(5, 9, 3, 6)",-0.0,6.02982962539e-22
33,"(1, 7, 8, 6)",0.0,2.77075711252e-21
34,"(9, 1, 5, 2)",-0.0,2.27857154563e-20
35,"(9, 2, 5, 7)",-0.0,7.32491995201e-23
36,"(5, 2, 8, 6)",-1.0,3.07549945928e-22
37,"(8, 9, 5, 7)",-1.0,8.61299188979e-19
38,"(8, 9, 5, 2)",-0.0,2.27857154563e-20
39,"(1, 7, 3, 6)",0.0,7.33231017209e-23
40,"(5, 7, 6, 2)",-0.0,9.88680271851e-25
41,"(1, 9, 5, 2)",-0.0,2.27857154563e-20
42,"(1, 9, 5, 7)",-1.0,8.61299188979e-19
43,"(5, 1, 6, 3)",-1.0,9.56993926967e-20
44,"(5, 2, 6, 3)",-1.0,8.13875596226e-24
45,"(9, 2, 8, 7)",0.0,1.74579930458e-23
46,"(1, 7, 5, 2)",-0.0,1.16253764121e-20
47,"(8, 7, 6, 3)",0.0,7.33231017209e-23
48,"(1, 9, 3, 6)",0.0,1.43713138651e-22
49,"(9, 7, 5, 6)",-0.0,7.32491995201e-23
50,"(5, 9, 8, 7)",-1.0,8.61299188979e-19
51,"(9, 7, 5, 3)",-0.0,2.27927333508e-20
52,"(5, 9, 8, 2)",-0.0,2.27857154563e-20
53,"(1, 7, 5, 6)",-0.0,1.16253764121e-20
54,"(8, 2, 5, 3)",-1.0,9.56993926967e-20
55,"(5, 9, 6, 7)",-1.0,7.32491995201e-23
56,"(1, 2, 8, 6)",4.00403471301e-22,7.33005254996e-23
57,"(1, 2, 8, 3)",9.99339685314e-20,2.28087043016e-20
58,"(5, 2, 3, 7)",-0.0,3.07644669882e-22
59,"(9, 7, 8, 2)",0.0,1.74579930458e-23
60,"(9, 1, 5, 7)",-0.0,8.61299188979e-19
61,"(8, 2, 3, 7)",0.0,7.33231017209e-23
62,"(8, 7, 3, 2)",0.0,7.33231017209e-23
63,"(1, 2, 5, 7)",-1.0,1.16253764121e-20
64,"(9, 1, 6, 3)",0.0,1.43713138651e-22
65,"(8, 7, 5, 3)",-0.0,3.61743345182e-18
66,"(5, 1, 8, 3)",-1.0,1.12527931848e-15
67,"(8, 7, 5, 6)",-0.0,1.16253764121e-20
68,"(1, 9, 6, 7)",2.53515972767e-23,1.74579930458e-23
69,"(1, 9, 6, 2)",0.0,4.61852126497e-25
70,"(1, 2, 3, 6)",0.0,1.93976652198e-24
71,"(5, 9, 3, 2)",-0.0,6.02982962539e-22
72,"(8, 1, 5, 3)",-1.0,1.12527931848e-15
73,"(5, 9, 3, 7)",-0.0,2.27927333508e-20
74,"(8, 1, 3, 7)",0.0,8.62168166469e-19
