,element,pos_prob,pri_prob
0,"(9, 8, 4, 0)",2.19230140362e-21,1.10366243396e-22
1,"(0, 4, 6, 1)",8.44557907308e-23,8.03434670218e-26
2,"(0, 8, 4, 5)",1.1157327751e-23,1.87236883094e-25
3,"(0, 2, 9, 8)",1.14552602104e-22,2.88351277811e-24
4,"(9, 8, 4, 5)",3.02920489641e-23,8.38979273002e-24
5,"(0, 5, 4, 8)",3.34719887954e-23,1.87236883094e-25
6,"(0, 4, 9, 5)",3.81157910113e-24,2.46301939268e-24
7,"(9, 8, 6, 0)",2.50128023348e-24,5.66679723708e-25
8,"(0, 2, 4, 6)",7.17554783715e-26,1.54570355033e-26
9,"(0, 5, 6, 8)",3.81894678401e-26,9.61374981285e-28
10,"(0, 2, 9, 6)",5.66022141514e-26,5.48672208951e-26
11,"(9, 4, 6, 8)",2.58278464959e-23,7.15337090028e-24
12,"(9, 8, 6, 5)",3.45613532794e-26,4.30777136189e-26
13,"(0, 2, 4, 5)",8.41580251204e-26,1.81287012656e-26
14,"(0, 8, 9, 1)",1.34827756852e-19,1.49880883527e-23
15,"(0, 2, 9, 5)",6.63856010514e-26,6.43507260282e-26
16,"(0, 2, 6, 5)",9.60190986398e-29,9.30825142569e-29
17,"(9, 2, 4, 1)",3.50029588319e-21,1.83186980573e-23
18,"(0, 4, 6, 5)",5.51300860259e-27,3.56272651274e-27
19,"(0, 5, 9, 8)",2.64034011182e-23,6.64627277474e-25
20,"(0, 5, 4, 6)",1.65390278621e-26,3.56272651274e-27
21,"(0, 4, 6, 8)",9.51304907761e-24,1.59643380246e-25
22,"(9, 5, 6, 8)",1.03684077007e-25,4.30777136189e-26
23,"(9, 8, 4, 1)",4.64054953028e-19,1.89199208279e-22
24,"(9, 2, 4, 8)",3.94271206684e-22,3.63994608146e-23
25,"(0, 4, 9, 1)",5.83909712688e-20,5.55438416737e-23
26,"(9, 8, 4, 6)",2.58278454272e-23,7.15337090028e-24
27,"(9, 2, 6, 8)",4.49839047807e-25,1.86894432236e-25
28,"(9, 8, 6, 1)",5.29457983898e-22,9.71450615461e-25
29,"(9, 5, 4, 1)",8.06788449486e-22,4.22231748343e-24
30,"(0, 5, 9, 6)",1.30463292581e-26,1.26464678509e-26
31,"(0, 4, 9, 8)",6.57712361181e-21,1.10366243396e-22
32,"(0, 8, 9, 5)",8.80113224874e-24,6.64627277474e-25
33,"(0, 5, 9, 1)",2.34406455935e-22,3.34485900182e-25
34,"(0, 8, 9, 6)",7.50409071287e-24,5.66679723708e-25
35,"(9, 5, 6, 1)",9.20495693689e-25,2.16796515972e-26
36,"(9, 2, 4, 5)",2.28488314995e-25,8.12318831473e-25
37,"(0, 2, 4, 8)",1.45220056952e-22,8.1233491798e-25
38,"(0, 8, 6, 1)",1.95012766015e-22,2.16800809235e-26
39,"(0, 8, 4, 6)",9.51304868401e-24,1.59643380246e-25
40,"(0, 8, 4, 1)",1.70923175634e-19,4.2224010988e-24
41,"(9, 5, 4, 0)",3.81145258485e-24,2.46301939268e-24
42,"(0, 2, 6, 8)",1.65687098206e-25,4.17096489574e-27
43,"(9, 2, 6, 0)",1.88667761152e-26,5.48672208951e-26
44,"(9, 5, 6, 0)",4.34863153196e-27,1.26464678509e-26
45,"(0, 2, 4, 1)",1.28924749991e-21,4.08822486676e-25
46,"(0, 5, 6, 1)",3.39041844282e-25,4.83829639448e-28
47,"(9, 4, 6, 1)",2.29296746068e-22,3.60006545926e-24
48,"(9, 2, 4, 0)",1.65361958271e-23,1.06859109342e-23
49,"(0, 2, 9, 1)",1.01698524963e-21,1.45118083468e-24
50,"(9, 5, 4, 8)",9.08761619399e-23,8.38979273002e-24
51,"(0, 8, 6, 5)",1.27298205055e-26,9.61374981285e-28
52,"(9, 2, 4, 6)",1.94815507152e-25,6.92605655205e-25
53,"(0, 5, 4, 1)",2.97160590468e-22,9.42304047869e-26
