,element,pos_prob,pri_prob
0,"(4, 8, 2, 5)",7.12807117366e-75,4.57565751583e-76
1,"(4, 3, 6, 9)",8.77374627681e-76,3.7605506043e-77
2,"(5, 3, 2, 9)",1.42252822163e-77,1.82914659076e-78
3,"(7, 3, 6, 9)",1.57791830237e-74,3.10359378227e-75
4,"(7, 5, 4, 9)",4.41129961783e-76,9.11441426287e-76
5,"(4, 3, 2, 9)",3.17789532812e-76,2.96819180127e-78
6,"(4, 8, 6, 9)",1.47515197908e-73,1.44847494686e-74
7,"(7, 8, 4, 5)",1.46030439981e-75,1.29050628757e-75
8,"(7, 8, 6, 3)",4.70114731531e-73,4.39436608274e-75
9,"(7, 8, 4, 3)",1.939680955e-75,1.18530450879e-77
10,"(4, 8, 6, 3)",2.61399298637e-74,5.32454863211e-77
11,"(4, 8, 6, 5)",1.96796563334e-74,5.79712929229e-75
12,"(7, 8, 2, 5)",1.28195113132e-73,3.7763039805e-74
13,"(5, 8, 6, 3)",1.17010738565e-75,3.2812502122e-77
14,"(7, 3, 6, 5)",2.1050637733e-75,1.24212948699e-75
15,"(7, 8, 4, 9)",1.09461816251e-74,3.22446840852e-75
16,"(5, 8, 2, 9)",2.39173239711e-75,7.04543905836e-76
17,"(5, 8, 6, 9)",6.60325499983e-75,8.92621901899e-75
18,"(7, 5, 2, 9)",3.87252858815e-74,2.66707719229e-74
19,"(7, 5, 6, 3)",1.89455739597e-74,1.24212948699e-75
20,"(5, 8, 4, 3)",4.82783214185e-78,8.85060688566e-80
21,"(4, 5, 6, 9)",5.94484687395e-75,4.0943185178e-75
