,element,pos_prob,pri_prob
0,"(3, 4, 9, 6)",8.51620892388e-94,3.84772773782e-93
1,"(1, 3, 9, 2)",1.62036827428e-97,1.58756985733e-97
2,"(3, 9, 1, 2)",1.62036827428e-97,1.58756985733e-97
3,"(4, 3, 9, 6)",8.51620892388e-94,3.84772773782e-93
4,"(1, 9, 2, 6)",2.74457691438e-98,2.68902301382e-98
5,"(3, 4, 9, 2)",1.77226649329e-92,1.73639345362e-92
6,"(3, 9, 2, 4)",1.77226649329e-92,1.73639345362e-92
7,"(4, 9, 1, 6)",1.15904422493e-92,5.2367040939e-92
8,"(1, 4, 2, 6)",1.50238148488e-93,5.21268272103e-93
9,"(1, 4, 9, 6)",1.15904422493e-92,5.2367040939e-92
10,"(4, 3, 2, 6)",1.10389183894e-94,3.83007776161e-94
11,"(3, 4, 2, 6)",1.10389183894e-94,3.83007776161e-94
12,"(4, 3, 9, 2)",1.77226649329e-92,1.73639345362e-92
