,element,pos_prob,pri_prob
0,"(5, 1, 2, 6)",1.8125607484e-97,1.24012708629e-97
1,"(6, 9, 2, 4)",4.20091640299e-100,1.75404518165e-101
2,"(5, 1, 3, 4)",9.8747310611e-97,6.75614401863e-97
3,"(5, 9, 2, 3)",1.29696959135e-95,1.62460499869e-96
4,"(7, 1, 3, 6)",3.90424945676e-95,1.25183915869e-96
5,"(7, 9, 3, 6)",5.85967188288e-97,1.14658798473e-99
6,"(5, 1, 7, 6)",2.58018474453e-99,1.14647438502e-99
7,"(5, 1, 7, 3)",1.23013361532e-95,1.63978569725e-95
8,"(7, 6, 2, 4)",5.61404828419e-100,2.49453554352e-100
9,"(7, 4, 2, 6)",5.61404828419e-100,2.49453554352e-100
10,"(7, 4, 2, 3)",2.67656396584e-96,3.56789803505e-96
11,"(5, 9, 2, 4)",1.19124550973e-99,2.2976260019e-100
12,"(6, 1, 7, 3)",4.33805495196e-96,1.25183915869e-96
13,"(7, 1, 2, 6)",3.13817977596e-96,4.64804278884e-97
14,"(5, 1, 2, 3)",8.64159789778e-94,1.77373579859e-93
15,"(6, 9, 2, 3)",4.5737514106e-96,1.24024996569e-97
16,"(5, 9, 7, 4)",1.69574095318e-101,2.12411242899e-102
17,"(6, 9, 3, 4)",5.2264136395e-99,4.72410118462e-101
18,"(6, 4, 2, 3)",5.45174006992e-98,7.26724746029e-98
19,"(7, 6, 2, 3)",6.11229998311e-96,1.76383576355e-96
20,"(5, 6, 2, 3)",3.53036340261e-97,4.70602489159e-97
21,"(6, 9, 7, 3)",6.51074653653e-98,1.14658798473e-99
22,"(7, 9, 2, 6)",4.70992030613e-98,4.25724820735e-100
23,"(5, 9, 3, 4)",1.4820437216e-98,6.18810611662e-100
24,"(5, 1, 3, 6)",2.25502992898e-96,3.33998570774e-97
25,"(5, 1, 7, 4)",1.12985775101e-99,2.31909557005e-99
26,"(7, 1, 2, 3)",1.49616435083e-92,6.64802823765e-93
27,"(5, 4, 7, 6)",4.61582279285e-103,6.15295777831e-103
28,"(5, 6, 7, 4)",4.61582279285e-103,6.15295777831e-103
29,"(7, 1, 2, 4)",1.37420266182e-96,9.40209007883e-97
30,"(5, 4, 2, 3)",1.54593908935e-97,9.51937663959e-97
