,element,pos_prob,pri_prob
0,"(4, 8, 2, 5)",1.20469964092e-65,3.12443464474e-66
1,"(4, 3, 6, 9)",9.95857557089e-70,3.71227743383e-68
2,"(5, 3, 2, 9)",1.68252405654e-70,4.11290664274e-69
3,"(7, 3, 6, 9)",3.50392551408e-65,2.0934872497e-65
4,"(7, 5, 6, 3)",8.67704951807e-64,5.76029892382e-65
5,"(4, 3, 2, 9)",5.26257351704e-71,4.28809591004e-70
6,"(4, 8, 6, 9)",2.76173416546e-65,9.83043370331e-65
7,"(7, 8, 6, 5)",8.02112843644e-60,1.52537728365e-61
8,"(7, 8, 4, 5)",1.38317523787e-63,6.0213589577e-65
9,"(7, 8, 6, 3)",2.07809845715e-63,3.95191799364e-65
10,"(7, 8, 4, 3)",3.583503681e-67,1.56000204449e-68
11,"(4, 8, 6, 3)",5.90620446871e-68,7.00774078765e-68
12,"(4, 8, 6, 5)",2.27970067791e-64,2.70487611949e-64
13,"(7, 8, 2, 5)",4.23873653274e-61,1.76198148114e-63
14,"(7, 5, 6, 9)",4.05737800586e-61,8.08052672005e-62
15,"(5, 8, 6, 3)",1.88830257084e-67,6.72144099404e-67
16,"(7, 3, 6, 5)",2.89234983936e-64,5.76029892382e-65
17,"(7, 8, 4, 9)",1.67564204733e-64,2.18836528634e-65
18,"(5, 8, 2, 9)",4.66601286305e-66,1.0891334713e-65
19,"(5, 8, 6, 9)",8.82968030015e-65,9.42881337721e-64
20,"(7, 5, 2, 9)",2.14410684442e-62,9.33391272522e-64
21,"(7, 5, 4, 9)",6.99660257634e-65,3.18975196957e-65
22,"(5, 8, 4, 3)",3.25621685062e-71,2.65325892629e-70
23,"(4, 5, 6, 9)",1.15315537755e-65,1.43287985158e-64
24,"(4, 5, 2, 9)",6.09380820352e-67,1.65513659489e-66
