,element,pos_prob,pri_prob
0,"(7, 5, 1, 4)",3.10048686793e-48,2.3859630958e-48
1,"(9, 5, 7, 4)",1.26906130997e-46,1.23746080827e-47
2,"(9, 5, 7, 1)",7.55104941325e-47,1.53088394924e-46
3,"(3, 4, 7, 5)",2.84999483621e-48,2.1931982918e-48
4,"(9, 7, 1, 5)",7.55104941324e-47,1.53088394924e-46
5,"(9, 4, 7, 1)",6.34556146367e-46,6.18755260768e-47
6,"(9, 5, 1, 4)",4.72465067117e-50,4.60700412871e-51
7,"(9, 4, 1, 5)",4.72465067114e-50,4.60700412871e-51
8,"(9, 7, 3, 1)",3.47063498522e-46,7.03629270813e-46
9,"(3, 5, 7, 4)",2.84999483623e-48,2.1931982918e-48
10,"(9, 7, 3, 5)",6.94099112577e-47,1.40720200925e-46
11,"(3, 4, 1, 5)",1.06103857315e-51,8.16516653927e-52
12,"(3, 5, 1, 4)",1.06103857316e-51,8.16516653927e-52
13,"(9, 7, 3, 4)",5.83289598534e-46,5.68765285324e-47
14,"(7, 4, 3, 5)",2.84999483621e-48,2.1931982918e-48
15,"(9, 7, 1, 4)",6.3455614637e-46,6.18755260768e-47
16,"(7, 4, 1, 5)",3.10048686791e-48,2.3859630958e-48
17,"(7, 5, 3, 4)",2.84999483623e-48,2.1931982918e-48
18,"(9, 5, 3, 1)",2.58409567161e-50,5.2389420523e-50
19,"(9, 4, 7, 5)",1.26906130996e-46,1.23746080827e-47
