,element,pos_prob,pri_prob
0,"(6, 3, 8, 7)",7.08627286295e-57,4.40923644788e-56
1,"(6, 5, 8, 3)",4.24343211819e-55,2.64035776232e-54
2,"(3, 5, 1, 7)",1.14285566896e-56,7.11110193991e-56
3,"(6, 3, 1, 8)",2.23428758877e-54,3.04111366237e-54
4,"(1, 5, 3, 7)",1.02857010212e-55,7.11110193991e-56
5,"(6, 5, 1, 7)",3.92810223849e-58,8.14717501315e-58
6,"(6, 5, 3, 8)",3.81908890659e-54,2.64035776232e-54
7,"(3, 5, 8, 7)",4.07008449349e-58,2.53249701807e-57
8,"(6, 5, 8, 7)",1.39892625499e-59,2.90147667701e-59
