,element,pos_prob,pri_prob
0,"(5, 1, 2, 6)",8.86321234058e-112,7.59183195583e-112
1,"(5, 1, 3, 4)",6.1104706349e-107,1.24976906277e-106
2,"(5, 9, 2, 3)",2.56094852502e-108,1.57136549497e-107
3,"(7, 1, 3, 6)",1.71109821078e-109,1.46565032823e-109
4,"(7, 9, 3, 6)",4.80442766749e-113,6.3591186719e-113
5,"(5, 1, 7, 6)",4.70123559074e-112,1.34228950025e-112
6,"(5, 1, 7, 3)",4.83787884806e-105,6.4033945028e-105
7,"(7, 4, 2, 3)",8.62925820205e-112,1.02794823191e-110
8,"(5, 9, 2, 4)",2.95135518599e-114,6.03638021533e-114
9,"(6, 1, 7, 3)",5.13329463233e-109,1.46565032823e-109
10,"(5, 1, 2, 3)",9.12082508539e-105,3.62168481562e-104
11,"(6, 9, 2, 3)",2.71732793028e-112,3.59664292504e-112
12,"(5, 9, 7, 4)",1.56546131449e-114,1.06727464855e-114
13,"(6, 9, 3, 4)",1.82046606178e-114,1.24112762053e-114
14,"(6, 4, 2, 3)",2.75708902375e-114,1.09478115841e-113
15,"(7, 6, 2, 3)",6.54865891706e-112,5.60928883614e-112
16,"(5, 6, 2, 3)",1.97191637223e-110,2.61001956736e-110
17,"(6, 9, 7, 3)",1.44132830025e-112,6.3591186719e-113
18,"(7, 9, 2, 6)",8.26459839162e-117,7.07908597477e-117
19,"(7, 1, 2, 4)",3.49074909956e-112,2.99001981962e-112
20,"(5, 1, 7, 4)",5.57539469768e-111,2.4598557122e-111
21,"(7, 1, 2, 3)",3.02899115639e-106,7.78349574782e-106
22,"(5, 6, 7, 4)",1.20539665909e-116,1.77273061257e-117
23,"(5, 4, 7, 6)",1.33932962121e-117,1.77273061257e-117
24,"(5, 1, 3, 6)",5.15241764622e-108,6.81971662957e-108
25,"(5, 4, 2, 3)",2.59842140878e-110,4.7830751418e-109
