,element,pos_prob,pri_prob
0,"(3, 8, 7, 5)",6.23734012079e-101,8.28006485397e-103
1,"(5, 4, 1, 9)",8.63562746875e-102,1.14913964875e-101
2,"(5, 8, 7, 9)",1.27853290865e-102,4.89469558006e-105
3,"(5, 6, 7, 1)",1.92850314264e-108,4.99988996247e-108
4,"(3, 4, 6, 1)",9.00018440143e-101,7.77804136518e-101
5,"(5, 8, 6, 1)",6.31364018535e-104,4.52702609346e-107
6,"(3, 8, 6, 1)",2.98720833003e-101,2.14189748855e-104
7,"(7, 6, 1, 5)",5.78550942793e-108,4.99988996247e-108
8,"(7, 4, 1, 9)",4.02713714215e-104,5.35889601275e-104
9,"(5, 6, 1, 9)",1.20319842113e-104,2.99871752682e-105
10,"(7, 8, 1, 5)",1.37820034855e-105,5.2762593038e-108
11,"(3, 8, 7, 9)",6.04919514388e-100,2.31585503457e-102
12,"(5, 6, 7, 9)",5.36711821667e-105,4.63831246551e-105
13,"(3, 8, 1, 5)",1.39828442051e-100,5.35314853956e-103
14,"(3, 4, 7, 1)",6.54881437381e-103,9.06532506577e-102
15,"(7, 4, 6, 5)",2.54560424387e-103,2.54278129857e-103
16,"(5, 8, 7, 1)",4.59400116183e-106,5.2762593038e-108
17,"(5, 4, 6, 1)",1.90224181357e-103,1.64393470763e-103
18,"(3, 4, 6, 9)",2.50479517436e-97,7.21555604067e-98
19,"(3, 6, 7, 5)",2.61835589521e-103,7.84635681611e-103
20,"(3, 8, 6, 5)",8.57211825794e-99,7.1042887567e-102
