,element,pos_prob,pri_prob
0,"(5, 1, 2, 6)",1.58727777304e-117,1.01689007704e-117
1,"(5, 1, 3, 4)",7.77458146817e-114,2.67841072545e-113
2,"(5, 9, 2, 3)",9.77517320672e-115,3.36763192555e-114
3,"(7, 1, 3, 6)",2.9451696467e-114,4.06267016269e-115
4,"(7, 9, 3, 6)",1.9650357537e-117,5.83649179491e-119
5,"(5, 1, 7, 6)",4.31564906535e-118,5.95315747263e-119
6,"(5, 1, 7, 3)",3.98343291718e-112,1.3723271784e-111
7,"(7, 4, 2, 3)",6.1459934195e-117,4.5590297005e-117
8,"(5, 9, 2, 4)",5.77454030142e-121,4.28348990049e-121
9,"(6, 1, 7, 3)",8.83550894011e-114,4.06267016269e-115
10,"(5, 1, 3, 6)",1.4258461841e-113,9.13468871439e-114
11,"(6, 9, 2, 3)",2.16819592685e-116,9.96961800232e-118
12,"(6, 9, 3, 4)",1.15056516873e-118,1.13912501833e-120
13,"(6, 4, 2, 3)",6.59976566461e-118,3.03464930296e-119
14,"(7, 6, 2, 3)",3.38149698498e-116,1.5548517917e-117
15,"(5, 6, 2, 3)",1.63708551661e-115,3.49599808633e-116
16,"(6, 9, 7, 3)",5.89510726109e-117,5.83649179491e-119
17,"(7, 9, 2, 6)",2.18751335863e-121,6.49728827829e-123
18,"(7, 1, 2, 4)",1.78770112784e-118,1.32609685386e-118
19,"(5, 1, 7, 4)",2.35315461238e-118,1.74554397238e-118
20,"(7, 1, 2, 3)",3.02623018532e-112,1.04256253783e-111
21,"(5, 6, 7, 4)",2.62940514755e-122,2.60326078721e-124
22,"(5, 4, 7, 6)",8.76468382518e-123,2.60326078721e-124
23,"(5, 4, 2, 3)",2.97546230469e-116,1.02507256277e-115
