,element,pos_prob,pri_prob
0,"(3, 4, 7, 9)",4.26907193686e-72,3.38738732074e-71
1,"(3, 4, 6, 1)",1.6681000996e-77,2.32457820332e-76
2,"(7, 6, 1, 9)",9.25677120762e-82,8.43313094733e-81
3,"(3, 4, 7, 5)",2.79843865033e-71,4.84253961725e-71
4,"(3, 8, 7, 5)",4.11868297788e-76,6.20751570789e-76
5,"(5, 8, 7, 9)",3.94348956073e-78,1.16565135757e-77
6,"(5, 6, 7, 1)",2.022649318e-81,1.2055831484e-80
7,"(3, 8, 6, 5)",8.31217835243e-77,1.25277856943e-76
8,"(5, 4, 7, 9)",2.67940350427e-73,9.09335254968e-73
9,"(5, 8, 6, 1)",1.54088181842e-83,7.99922619386e-83
10,"(3, 4, 6, 5)",5.64770857452e-72,9.77303987548e-72
11,"(7, 6, 1, 5)",6.06794795399e-81,1.2055831484e-80
12,"(3, 8, 7, 9)",6.2831300288e-77,4.34219679428e-76
13,"(3, 4, 7, 1)",8.26543319253e-77,1.15182810941e-75
14,"(3, 6, 7, 9)",1.66449999226e-75,1.32073346446e-74
15,"(5, 4, 6, 1)",1.04695196485e-78,6.24026930804e-78
16,"(3, 4, 6, 9)",8.61568795877e-73,6.83630367037e-72
17,"(5, 4, 1, 9)",9.16633604615e-77,3.11086871102e-76
18,"(3, 8, 6, 1)",2.45507454123e-82,2.97981159719e-81
19,"(7, 8, 1, 5)",2.29052004687e-82,3.96361523586e-82
20,"(5, 8, 7, 1)",7.63506682289e-83,3.96361523586e-82
21,"(3, 6, 7, 5)",1.0911039169e-74,1.88809354227e-74
22,"(7, 4, 6, 5)",9.18100781804e-75,1.82408754898e-74
23,"(7, 4, 1, 9)",2.37415574479e-78,2.16291035352e-77
24,"(3, 4, 1, 9)",1.46046491004e-75,1.15883742224e-74
25,"(5, 6, 7, 9)",1.04469242451e-76,3.54547439642e-76
26,"(3, 8, 1, 5)",1.40901630466e-79,2.12361351694e-79
27,"(7, 8, 6, 5)",1.35124136509e-79,2.33824666556e-79
28,"(5, 6, 1, 9)",3.57393047097e-80,1.21291958112e-79
