,element,pos_prob,pri_prob
0,"(3, 2, 1, 4)",1.77803896616e-28,2.88174445738e-27
1,"(3, 2, 1, 9)",4.65618071415e-32,2.26449315823e-30
2,"(3, 2, 4, 1)",5.33411689847e-28,2.88174445738e-27
3,"(3, 2, 4, 9)",9.22374744765e-30,1.49493269954e-28
4,"(3, 2, 5, 1)",2.51151705348e-30,6.71800029361e-30
5,"(3, 2, 5, 4)",1.65841207876e-28,4.43496959923e-28
6,"(3, 2, 5, 9)",4.34291176078e-32,3.48502737247e-31
7,"(3, 2, 6, 1)",7.57755424771e-30,2.02690274901e-29
8,"(3, 2, 6, 4)",5.00363215709e-28,1.33808450128e-27
9,"(3, 2, 6, 9)",1.31030961604e-31,1.05147532791e-30
10,"(3, 2, 8, 1)",1.8072803521e-28,9.76593121563e-28
11,"(3, 2, 8, 4)",1.19338849859e-26,6.44709826684e-26
12,"(3, 2, 8, 9)",3.12514664605e-30,5.06617090156e-29
13,"(3, 4, 1, 2)",5.33370346468e-28,2.88174445738e-27
14,"(3, 4, 1, 9)",1.7016451562e-32,6.32773118335e-31
15,"(3, 4, 2, 1)",1.60008008964e-27,2.88174445738e-27
16,"(3, 4, 2, 9)",2.76685624327e-29,1.49493269954e-28
17,"(3, 4, 5, 1)",9.17857594268e-31,1.87722801427e-30
18,"(3, 4, 5, 2)",4.97485061842e-28,4.43496959923e-28
19,"(3, 4, 5, 9)",1.58715806263e-32,9.73830117323e-32
20,"(3, 4, 6, 1)",2.76928866662e-30,5.66382622261e-30
21,"(3, 4, 6, 2)",1.5009733015e-27,1.33808450128e-27
22,"(3, 4, 6, 9)",4.78865007212e-32,2.93816441739e-31
23,"(3, 4, 8, 1)",6.60487649826e-29,2.72891915186e-28
24,"(3, 4, 8, 2)",3.57988800628e-26,6.44709826684e-26
25,"(3, 4, 8, 9)",1.14211431625e-30,1.41565310001e-29
26,"(3, 8, 1, 2)",6.02426792446e-29,9.76593121563e-28
27,"(3, 8, 1, 4)",7.33932061921e-30,2.72891915186e-28
28,"(3, 8, 1, 9)",1.92196030417e-33,2.14440205929e-31
29,"(3, 8, 2, 1)",1.80724542045e-28,9.76593121563e-28
30,"(3, 8, 2, 4)",1.19336543242e-26,6.44709826684e-26
31,"(3, 8, 2, 9)",3.12508624229e-30,5.06617090156e-29
32,"(3, 8, 4, 1)",2.20179618576e-29,2.72891915186e-28
33,"(3, 8, 4, 2)",1.19338851525e-26,6.44709826684e-26
34,"(3, 8, 4, 9)",3.80734287141e-31,1.41565310001e-29
35,"(3, 8, 5, 2)",5.61895373599e-29,1.50296491205e-28
36,"(3, 8, 5, 4)",6.84552937054e-30,4.19977331656e-29
37,"(3, 8, 5, 9)",1.79265035469e-33,3.30020863478e-32
38,"(3, 8, 6, 1)",3.12783359599e-31,1.91941159688e-30
39,"(3, 8, 6, 2)",1.69530709301e-28,4.53462872696e-28
40,"(3, 8, 6, 4)",2.06537996976e-29,1.26712290987e-28
41,"(3, 8, 6, 9)",5.40864546032e-33,9.9571325719e-32
42,"(3, 9, 1, 2)",4.19056259666e-31,2.26449315823e-30
43,"(3, 9, 1, 4)",5.10533111366e-32,6.32773118335e-31
44,"(3, 9, 2, 1)",1.25714446252e-30,2.26449315823e-30
45,"(3, 9, 2, 4)",8.30121204432e-29,1.49493269954e-28
46,"(3, 9, 4, 1)",1.5315993341e-31,6.32773118335e-31
47,"(3, 9, 4, 2)",8.30137261161e-29,1.49493269954e-28
48,"(3, 9, 5, 1)",7.21138647671e-34,1.47513773606e-33
49,"(3, 9, 5, 2)",3.90862054173e-31,3.48502737247e-31
50,"(3, 9, 5, 4)",4.76184321386e-32,9.73830117323e-32
51,"(3, 9, 6, 1)",2.17576353514e-33,4.45067073788e-33
52,"(3, 9, 6, 2)",1.17927864147e-30,1.05147532791e-30
53,"(3, 9, 6, 4)",1.43670636129e-31,2.93816441739e-31
54,"(3, 9, 8, 1)",5.18929269174e-32,2.14440205929e-31
55,"(3, 9, 8, 2)",2.81263195052e-29,5.06617090156e-29
56,"(3, 9, 8, 4)",3.42660849875e-30,1.41565310001e-29
57,"(4, 2, 1, 3)",1.77762117779e-28,2.88174445738e-27
58,"(4, 2, 1, 9)",2.25580980732e-33,2.51695738657e-31
59,"(4, 2, 5, 1)",1.2167708146e-31,7.46697794182e-31
60,"(4, 2, 5, 3)",1.6580223993e-28,4.43496959923e-28
61,"(4, 2, 5, 9)",2.10403838333e-33,3.87356674302e-32
62,"(4, 2, 6, 1)",3.67114642598e-31,2.25287845425e-30
63,"(4, 2, 6, 3)",5.00245644647e-28,1.33808450128e-27
