,element,pos_prob,pri_prob
0,"(2, 9, 7, 3)",0.0,1.31841383628e-115
1,"(5, 1, 9, 3)",0.0,1.84970196945e-115
2,"(2, 1, 9, 3)",0.0,3.29349740095e-115
3,"(5, 6, 8, 2)",4.39116960625e-112,8.22245688496e-112
4,"(5, 1, 9, 2)",0.0,7.40160635601e-116
5,"(1, 9, 8, 7)",0.0,4.47108503568e-116
6,"(1, 6, 9, 7)",0.0,4.01122731011e-116
7,"(2, 6, 9, 7)",0.0,2.60526305959e-115
8,"(1, 6, 7, 3)",3.76536586132e-114,6.30764867785e-114
9,"(2, 1, 7, 3)",0.0,1.27729699868e-114
10,"(1, 9, 7, 3)",1.56836552165e-116,2.02991308945e-116
11,"(1, 9, 8, 2)",6.4898062753e-115,7.25425488461e-115
12,"(5, 1, 7, 3)",0.0,7.17358627135e-115
