,element,pos_prob,pri_prob
0,"(3, 4, 7, 9)",2.50124671157e-76,2.4409331937e-76
1,"(3, 4, 6, 1)",1.71646848627e-81,1.67507862567e-81
2,"(3, 4, 7, 5)",7.82191184762e-77,1.17043919501e-76
3,"(3, 8, 7, 5)",7.11352964343e-84,7.50176587331e-83
4,"(5, 8, 7, 9)",1.13198022298e-86,2.09990534118e-85
5,"(5, 6, 7, 1)",1.57070710911e-89,3.23752834084e-89
6,"(7, 4, 6, 5)",9.04647065242e-84,3.28606933969e-82
7,"(5, 4, 7, 9)",1.24470550644e-79,3.27631061624e-79
8,"(5, 8, 6, 1)",7.76815965747e-92,1.44104990747e-90
9,"(3, 4, 6, 5)",5.2619673719e-78,2.36213842917e-77
10,"(7, 6, 1, 5)",5.81743373744e-91,3.23752834084e-89
11,"(3, 8, 7, 9)",2.27472425858e-83,1.56448189787e-82
12,"(3, 4, 7, 1)",2.55152954017e-80,8.30001177747e-81
13,"(3, 6, 7, 9)",3.09414782939e-82,7.09351657336e-82
14,"(5, 4, 6, 1)",8.54173147576e-85,2.24835235085e-84
15,"(3, 4, 6, 9)",1.68264215217e-77,4.92620387668e-77
16,"(5, 4, 1, 9)",4.35280871604e-82,2.24167536186e-81
17,"(3, 8, 6, 1)",1.56101854597e-88,1.07361815314e-87
18,"(7, 8, 1, 5)",4.27680200653e-92,7.14039987178e-90
19,"(5, 8, 7, 1)",1.15473654176e-90,7.14039987178e-90
20,"(3, 6, 7, 5)",9.67603533592e-83,3.40137528112e-82
21,"(3, 8, 6, 5)",4.78542351435e-85,1.51397949859e-83
22,"(7, 4, 1, 9)",1.50380155719e-84,2.32335150919e-83
23,"(3, 4, 1, 9)",8.74700756988e-79,1.6701041022e-78
24,"(5, 6, 7, 9)",1.5397532851e-85,9.52117973394e-85
25,"(3, 8, 1, 5)",2.48764335608e-86,5.13276233494e-85
26,"(5, 6, 1, 9)",5.38460823484e-88,6.51445986823e-87
