,element,pos_prob,pri_prob
0,"(2, 9, 7, 3)",2.50572514663e-109,5.83140197571e-108
1,"(1, 6, 9, 7)",5.28240306164e-109,1.77418335712e-108
2,"(5, 1, 9, 3)",4.70098795168e-110,4.33447024697e-109
3,"(2, 1, 9, 3)",2.88335821025e-109,2.30009729025e-108
4,"(2, 1, 9, 7)",4.14076393338e-109,1.07072393415e-108
5,"(5, 6, 8, 2)",1.08375670175e-106,1.02081939266e-106
6,"(5, 1, 9, 2)",5.99706949115e-109,5.16909918253e-109
7,"(1, 9, 8, 7)",3.76281107483e-111,3.12249542752e-109
8,"(1, 9, 7, 2)",1.38025464446e-109,1.07072393415e-108
9,"(2, 6, 9, 7)",1.22336399165e-107,1.15231922898e-107
10,"(1, 6, 7, 3)",9.29064551339e-108,9.36125573214e-107
11,"(5, 6, 7, 3)",3.5080080845e-107,1.14577208596e-106
12,"(2, 1, 7, 3)",7.28274033821e-108,5.64954040735e-107
13,"(1, 9, 7, 3)",1.08195518885e-110,8.97839424511e-109
14,"(1, 9, 8, 2)",3.34256979649e-110,7.99925139795e-109
15,"(5, 1, 7, 3)",1.1873680649e-108,1.06464039189e-107
