,element,pos_prob,pri_prob
0,"(9, 7, 4, 1)",9.09407485829e-19,1.51279478463e-18
1,"(3, 4, 6, 1)",1.91389810878e-16,1.12829502324e-17
2,"(6, 4, 7, 2)",2.00526790591e-16,4.0396634791e-17
3,"(7, 1, 6, 3)",2.83039342747e-17,3.40368998676e-17
4,"(4, 8, 7, 3)",3.18527449224e-13,1.96811282464e-15
5,"(9, 2, 1, 3)",3.65992328274e-20,2.03892140951e-19
6,"(5, 7, 6, 4)",3.19871792842e-18,5.8222389802e-19
7,"(8, 9, 7, 3)",4.97663072455e-15,3.46041815321e-17
8,"(3, 9, 6, 2)",5.17093148745e-19,2.38043555863e-19
9,"(7, 8, 5, 2)",6.72846467421e-16,4.53743575969e-18
10,"(4, 3, 1, 7)",2.35322477324e-16,8.69884121387e-17
11,"(8, 2, 6, 3)",4.53400424776e-14,1.02659484063e-16
12,"(7, 3, 5, 9)",9.62697898379e-21,2.64508723396e-20
13,"(5, 7, 2, 9)",1.25081094912e-21,1.05212621376e-20
14,"(4, 7, 8, 9)",3.69281020018e-15,3.42269820022e-17
15,"(8, 2, 6, 9)",1.57693321325e-15,1.78532666898e-18
16,"(5, 8, 6, 1)",3.33547970685e-15,4.90474679765e-19
17,"(7, 3, 1, 4)",4.80992206353e-16,8.69884121387e-17
18,"(5, 7, 2, 3)",3.59633629933e-20,6.04991434626e-19
19,"(7, 9, 5, 1)",7.23354786227e-21,8.76824497446e-21
20,"(3, 9, 2, 1)",1.09850559387e-19,2.03892140951e-19
21,"(4, 3, 5, 2)",8.10636036076e-20,2.00549646837e-19
22,"(9, 8, 6, 2)",5.25905032268e-16,1.78532666898e-18
23,"(8, 3, 5, 7)",3.71865874207e-15,1.14072943397e-17
24,"(3, 2, 6, 1)",3.34964259557e-17,4.53743575969e-18
25,"(8, 1, 4, 6)",2.85855484006e-13,8.46221267427e-17
26,"(8, 4, 5, 3)",6.34523835046e-16,3.78142353802e-18
27,"(9, 2, 6, 7)",5.10438246373e-19,7.10270501819e-19
28,"(3, 2, 6, 7)",1.32083355953e-16,4.08418271732e-17
29,"(9, 8, 2, 1)",1.11722543838e-16,1.52919105713e-18
30,"(6, 8, 7, 3)",5.06345649405e-13,7.70084859505e-16
31,"(6, 1, 2, 4)",8.29357457728e-18,4.48797588057e-18
32,"(6, 1, 7, 9)",1.44561451097e-18,5.91927629654e-19
33,"(8, 3, 1, 2)",8.67295228991e-14,8.79312272018e-17
34,"(6, 4, 2, 3)",7.52012705984e-18,1.35387272397e-17
35,"(5, 9, 8, 3)",1.45511721276e-17,6.64865677015e-20
36,"(7, 8, 6, 3)",3.44804375725e-13,7.70084859505e-16
37,"(3, 8, 5, 7)",3.71865874207e-15,1.14072943397e-17
38,"(8, 3, 1, 4)",7.27008935888e-13,2.1865293812e-16
39,"(9, 3, 8, 4)",3.73920926538e-15,1.14709994029e-17
40,"(8, 9, 4, 3)",3.73920926538e-15,1.14709994029e-17
41,"(8, 2, 5, 4)",7.41648157797e-16,1.50412235128e-18
42,"(7, 3, 5, 2)",2.20524161279e-19,6.04991434626e-19
43,"(6, 2, 4, 1)",7.46062528284e-17,4.48797588057e-18
44,"(4, 9, 8, 3)",1.24640308846e-15,1.14709994029e-17
45,"(9, 1, 8, 6)",4.96240918064e-16,1.4878615691e-18
46,"(9, 3, 4, 1)",9.208206804e-19,5.07005498471e-19
47,"(7, 3, 5, 1)",6.23928740898e-19,5.04189805069e-19
48,"(7, 3, 4, 1)",4.80992206353e-16,8.69884121387e-17
49,"(3, 8, 1, 2)",8.67295228991e-14,8.79312272018e-17
50,"(5, 1, 4, 2)",1.82726801194e-19,6.64805459129e-20
51,"(9, 8, 5, 6)",5.7214322219e-18,2.57313476191e-20
52,"(5, 7, 1, 9)",1.06167536844e-20,8.76824497446e-21
53,"(3, 9, 5, 2)",1.26652701781e-21,3.5261476367e-21
54,"(9, 4, 1, 7)",1.85873850004e-18,1.51279478463e-18
55,"(4, 3, 2, 1)",7.03094531503e-18,1.15963655166e-17
56,"(5, 4, 2, 3)",5.52286491755e-20,2.00549646837e-19
57,"(9, 1, 8, 4)",9.36512562222e-16,3.80254123853e-18
