,element,pos_prob,pri_prob
0,"(9, 8, 3, 6)",-1.0,6.54032401018e-50
1,"(7, 6, 4, 8)",-0.0,8.07447408731e-52
2,"(3, 2, 8, 1)",-1.0,1.55722000253e-50
3,"(7, 6, 2, 1)",0.0,1.08984911014e-53
4,"(9, 8, 4, 6)",-1.0,9.49736669512e-48
5,"(9, 2, 8, 6)",-1.0,2.03515000607e-47
6,"(9, 7, 3, 6)",7.1521347971e-53,4.11962963605e-52
7,"(7, 2, 4, 8)",-1.0,2.26127778471e-48
8,"(7, 8, 2, 3)",-0.0,1.55722000253e-50
9,"(7, 6, 8, 1)",-0.0,6.17828293744e-55
10,"(9, 8, 2, 1)",-0.0,2.03515000607e-47
11,"(1, 8, 4, 3)",-0.0,7.26702667858e-51
12,"(3, 7, 8, 1)",-1.0,5.5604546437e-54
13,"(1, 6, 4, 3)",0.0,4.57736626265e-53
14,"(9, 7, 8, 3)",-0.0,6.54032401018e-50
15,"(1, 6, 8, 3)",-0.0,5.5604546437e-54
16,"(1, 7, 4, 8)",-0.0,8.07447408731e-52
17,"(9, 7, 2, 6)",0.0,1.28190350597e-49
18,"(3, 7, 4, 8)",-1.0,7.26702667858e-51
19,"(3, 7, 2, 1)",0.0,9.80864199128e-53
20,"(3, 7, 4, 1)",2.64893880955e-53,4.57736626265e-53
21,"(1, 7, 8, 6)",-0.0,6.17828293744e-55
22,"(7, 8, 3, 1)",-1.0,5.5604546437e-54
23,"(1, 6, 4, 8)",-0.0,8.07447408731e-52
24,"(3, 8, 2, 6)",-0.0,1.55722000253e-50
25,"(1, 6, 3, 8)",-0.0,5.5604546437e-54
26,"(3, 8, 4, 6)",-1.0,7.26702667858e-51
27,"(9, 6, 3, 8)",-0.0,6.54032401018e-50
28,"(1, 7, 3, 6)",0.0,3.50242796908e-56
29,"(1, 2, 4, 8)",-0.0,2.26127778471e-48
30,"(9, 6, 3, 1)",0.0,4.11962963605e-52
31,"(1, 7, 3, 8)",-0.0,5.5604546437e-54
32,"(1, 7, 2, 8)",-0.0,1.73024444726e-51
33,"(3, 2, 4, 8)",-1.0,2.03515000624e-47
34,"(7, 6, 2, 3)",0.0,9.80864199128e-53
35,"(9, 7, 3, 8)",-1.0,6.54032401018e-50
36,"(9, 8, 2, 6)",-0.0,2.03515000607e-47
37,"(7, 8, 2, 1)",-0.0,1.73024444726e-51
38,"(9, 6, 8, 1)",-0.0,7.26702667798e-51
39,"(3, 7, 8, 6)",-1.0,5.5604546437e-54
40,"(7, 2, 8, 3)",-0.0,1.55722000253e-50
41,"(1, 8, 4, 6)",-0.0,8.07447408731e-52
42,"(1, 2, 8, 6)",-0.0,1.73024444726e-51
43,"(1, 7, 2, 6)",0.0,1.08984911014e-53
44,"(1, 2, 8, 3)",-0.0,1.55722000253e-50
45,"(7, 8, 4, 1)",-1.0,8.07447408731e-52
46,"(9, 2, 8, 1)",-1.0,2.03515000607e-47
47,"(3, 7, 2, 6)",0.0,9.80864199128e-53
48,"(1, 7, 4, 3)",0.0,4.57736626265e-53
49,"(7, 2, 3, 6)",1.2260802491e-52,9.80864199128e-53
50,"(7, 8, 3, 6)",-1.0,5.5604546437e-54
51,"(7, 2, 3, 1)",1.2260802491e-52,9.80864199128e-53
52,"(7, 2, 3, 8)",-1.0,1.55722000253e-50
53,"(1, 7, 8, 3)",-0.0,5.5604546437e-54
54,"(3, 8, 4, 1)",-1.0,7.26702667858e-51
55,"(7, 6, 4, 3)",0.0,4.57736626265e-53
56,"(3, 8, 2, 1)",-0.0,1.55722000253e-50
57,"(9, 7, 4, 8)",-1.0,9.49736669512e-48
58,"(3, 2, 8, 6)",-1.0,1.55722000253e-50
59,"(9, 8, 4, 3)",-0.0,8.54763002561e-47
60,"(1, 8, 3, 6)",-0.0,5.5604546437e-54
61,"(1, 2, 3, 8)",-0.0,1.55722000253e-50
62,"(3, 6, 8, 1)",-0.0,5.5604546437e-54
63,"(7, 6, 8, 3)",-0.0,5.5604546437e-54
64,"(3, 7, 4, 6)",2.64893880955e-53,4.57736626265e-53
65,"(7, 2, 4, 1)",2.47280768969e-50,1.42433722897e-50
66,"(9, 6, 8, 3)",-0.0,6.54032401018e-50
67,"(1, 6, 2, 8)",-0.0,1.73024444726e-51
68,"(9, 2, 4, 8)",-1.0,2.65976261596e-44
69,"(9, 6, 2, 8)",-0.0,2.03515000607e-47
70,"(7, 2, 8, 1)",-1.0,1.73024444726e-51
71,"(7, 8, 4, 6)",-1.0,8.07447408731e-52
72,"(7, 8, 4, 3)",-0.0,7.26702667858e-51
73,"(1, 7, 2, 3)",0.0,9.80864199128e-53
74,"(9, 7, 8, 6)",-1.0,7.26702667798e-51
75,"(3, 6, 4, 1)",0.0,4.57736626265e-53
76,"(9, 7, 8, 1)",-1.0,7.26702667798e-51
77,"(1, 8, 2, 6)",-0.0,1.73024444726e-51
78,"(3, 6, 2, 8)",-0.0,1.55722000253e-50
79,"(7, 6, 3, 8)",-0.0,5.5604546437e-54
80,"(1, 8, 2, 3)",-0.0,1.55722000253e-50
81,"(9, 6, 4, 8)",-0.0,9.49736669512e-48
82,"(3, 6, 4, 8)",-0.0,7.26702667858e-51
83,"(9, 7, 2, 8)",-0.0,2.03515000607e-47
84,"(7, 6, 3, 1)",0.0,3.50242796908e-56
85,"(3, 7, 2, 8)",-0.0,1.55722000253e-50
86,"(9, 8, 3, 1)",-1.0,6.54032401018e-50
