,element,pos_prob,pri_prob
0,"(9, 2, 8, 1)",-1.0,7.38207647768e-54
1,"(3, 7, 4, 8)",-1.0,8.47113704022e-60
2,"(7, 8, 4, 1)",-1.0,1.66034285988e-59
3,"(3, 7, 4, 1)",8.27103981037e-65,1.27043171487e-62
4,"(3, 2, 8, 1)",-1.0,3.2020898012e-58
5,"(7, 2, 3, 6)",3.79792644354e-64,6.48179446362e-63
6,"(7, 8, 3, 1)",-1.0,6.48179446363e-63
7,"(9, 2, 4, 8)",-1.0,9.64772669586e-51
8,"(9, 8, 3, 6)",-1.0,3.2020898012e-58
9,"(9, 8, 4, 6)",-1.0,8.20230719743e-55
10,"(9, 2, 8, 6)",-1.0,1.75763725659e-54
11,"(7, 2, 8, 1)",-1.0,3.55787755689e-59
12,"(3, 8, 4, 6)",-1.0,3.55787755689e-59
13,"(7, 2, 3, 8)",-1.0,1.81524365147e-59
14,"(7, 8, 4, 6)",-1.0,3.95319728544e-60
15,"(7, 2, 4, 8)",-1.0,4.64983401215e-56
16,"(9, 7, 8, 6)",-1.0,3.55787755689e-59
17,"(7, 8, 3, 6)",-1.0,1.5432843961e-63
18,"(9, 7, 8, 1)",-1.0,1.49430857389e-58
19,"(3, 2, 4, 8)",-1.0,4.18485061094e-55
20,"(3, 8, 4, 1)",-1.0,1.49430857389e-58
21,"(3, 7, 8, 1)",-1.0,6.48179446363e-63
22,"(9, 7, 3, 8)",-1.0,7.62402333619e-59
23,"(9, 7, 4, 8)",-1.0,1.9529302851e-55
24,"(3, 2, 8, 6)",-1.0,7.62402333619e-59
25,"(9, 8, 3, 1)",-1.0,1.3448777165e-57
26,"(3, 7, 8, 6)",-1.0,1.5432843961e-63
