,element,pos_prob,pri_prob
0,"(5, 2, 8, 3)",-1.0,2.34125943718e-13
1,"(9, 2, 3, 7)",5.78765891901e-15,2.05418229945e-17
2,"(9, 1, 8, 2)",6.92757201259e-16,5.60059995787e-14
3,"(5, 7, 8, 2)",-1.0,1.19461563486e-13
4,"(5, 7, 6, 3)",-1.0,1.83773748203e-16
5,"(8, 2, 6, 3)",1.847346596e-15,8.41164418725e-17
6,"(8, 9, 3, 7)",1.72107156125e-11,5.60749863968e-14
7,"(8, 1, 6, 3)",3.26172033115e-14,1.33348558375e-14
8,"(1, 9, 5, 6)",-1.0,3.23728213047e-15
9,"(5, 1, 6, 7)",-1.0,1.65180662429e-15
10,"(9, 2, 8, 6)",3.1133414405e-18,8.41164418725e-17
11,"(8, 7, 6, 2)",1.86335843182e-15,4.29199835841e-17
12,"(9, 2, 8, 3)",1.46621614651e-14,6.23101537012e-15
13,"(9, 7, 3, 6)",1.53082559142e-16,4.89094472611e-18
14,"(9, 2, 6, 7)",1.10607415476e-17,2.7730714133e-19
15,"(1, 9, 3, 2)",8.13746050716e-16,3.61856234406e-16
16,"(5, 9, 6, 2)",-1.0,2.0420817253e-17
17,"(8, 9, 6, 2)",2.90867826649e-17,8.41164418725e-17
18,"(9, 7, 5, 2)",-1.0,7.71844299621e-16
19,"(8, 9, 6, 7)",3.28912397745e-14,7.5699192725e-16
20,"(8, 2, 5, 7)",-1.0,1.19461563486e-13
21,"(5, 1, 3, 2)",-1.0,1.35964890693e-14
22,"(5, 1, 3, 7)",-1.0,1.22359341828e-13
23,"(1, 9, 8, 7)",7.05403797441e-12,5.04016677535e-13
24,"(5, 7, 3, 6)",-1.0,1.83773748203e-16
25,"(9, 7, 8, 3)",5.52664158971e-12,5.60749863968e-14
26,"(9, 1, 8, 7)",7.83367602895e-13,5.04016677535e-13
27,"(9, 1, 5, 6)",-1.0,3.23728213047e-15
28,"(8, 2, 3, 6)",2.05255982428e-16,8.41164418725e-17
29,"(5, 1, 8, 6)",-1.0,5.01047665886e-13
30,"(1, 2, 6, 3)",9.87695119754e-17,4.88492759199e-18
31,"(1, 2, 5, 3)",-1.0,1.35964890693e-14
32,"(8, 1, 5, 6)",-1.0,5.01047665886e-13
33,"(1, 9, 6, 3)",5.81146322561e-16,8.61568538368e-17
34,"(1, 2, 3, 7)",1.56390679137e-13,1.84635290019e-16
35,"(8, 1, 3, 2)",4.56720095262e-14,5.60059995787e-14
36,"(5, 9, 3, 6)",-1.0,3.60167747457e-16
37,"(1, 7, 8, 6)",3.17101277716e-14,6.80404188409e-15
38,"(9, 1, 5, 2)",-1.0,1.35964890693e-14
39,"(9, 2, 5, 7)",-1.0,7.71844299621e-16
40,"(5, 2, 8, 6)",-1.0,3.160615111e-15
41,"(8, 9, 5, 7)",-1.0,2.10697748751e-12
42,"(8, 9, 5, 2)",-1.0,2.34125943718e-13
43,"(1, 7, 3, 6)",4.13650592119e-15,4.3961093337e-17
44,"(5, 7, 6, 2)",-1.0,1.0419617399e-17
45,"(8, 2, 6, 7)",5.59007529545e-15,4.29199835841e-17
46,"(1, 9, 5, 2)",-1.0,1.35964890693e-14
47,"(1, 9, 5, 7)",-1.0,1.22359341828e-13
48,"(5, 1, 6, 3)",-1.0,3.23728213047e-15
49,"(5, 2, 6, 3)",-1.0,2.0420817253e-17
50,"(9, 2, 8, 7)",4.43677362772e-14,3.17934367461e-15
51,"(9, 7, 3, 2)",1.92921963967e-15,2.05418229945e-17
52,"(1, 7, 5, 2)",-1.0,6.93753890044e-15
53,"(8, 7, 6, 3)",6.9632451889e-13,7.5699192725e-16
54,"(1, 9, 3, 6)",6.45703191974e-17,8.61568538368e-17
55,"(9, 7, 5, 6)",-1.0,1.83773748203e-16
56,"(5, 9, 8, 7)",-1.0,2.10697748751e-12
57,"(9, 7, 5, 3)",-1.0,1.36132368914e-14
58,"(5, 9, 8, 2)",-1.0,2.34125943718e-13
59,"(1, 7, 5, 6)",-1.0,1.65180662429e-15
60,"(8, 2, 5, 3)",-1.0,2.34125943718e-13
61,"(5, 9, 6, 7)",-1.0,1.83773748203e-16
62,"(1, 2, 8, 6)",8.41268618415e-17,7.5606063029e-16
63,"(1, 2, 8, 3)",3.96192211951e-13,5.60059995787e-14
64,"(5, 2, 3, 7)",-1.0,7.71844299621e-16
65,"(9, 7, 8, 2)",1.47892454257e-14,3.17934367461e-15
66,"(9, 1, 5, 7)",-1.0,1.22359341828e-13
67,"(8, 2, 3, 7)",2.92507053008e-12,3.17934367461e-15
68,"(8, 7, 3, 2)",9.75023510028e-13,3.17934367461e-15
69,"(1, 2, 5, 7)",-1.0,6.93753890044e-15
70,"(9, 1, 6, 3)",6.45376737817e-17,8.61568538368e-17
71,"(8, 7, 5, 3)",-1.0,2.10697748751e-12
72,"(5, 1, 8, 3)",-1.0,3.71156415773e-11
73,"(8, 7, 5, 6)",-1.0,2.84434299752e-14
74,"(1, 9, 6, 7)",1.75855018643e-15,4.3961093337e-17
75,"(1, 9, 6, 2)",1.55514256771e-18,4.88492759199e-18
76,"(1, 2, 3, 6)",1.09741362332e-17,4.88492759199e-18
77,"(5, 9, 3, 2)",-1.0,1.51269387222e-15
78,"(8, 1, 5, 3)",-1.0,3.71156415773e-11
79,"(5, 9, 3, 7)",-1.0,1.36132368914e-14
80,"(8, 1, 3, 7)",5.16457606747e-11,5.04016677535e-13
81,"(9, 2, 5, 6)",-1.0,2.0420817253e-17
82,"(9, 7, 6, 3)",1.37777491887e-15,4.89094472611e-18
83,"(1, 7, 8, 3)",1.49337624013e-10,5.04016677535e-13
84,"(9, 1, 3, 6)",7.17068668347e-18,8.61568538368e-17
85,"(5, 2, 3, 6)",-1.0,2.0420817253e-17
86,"(5, 2, 8, 7)",-1.0,1.19461563486e-13
87,"(8, 9, 5, 6)",-1.0,5.57446654069e-14
88,"(1, 7, 3, 2)",5.21302263791e-14,1.84635290019e-16
89,"(5, 7, 8, 3)",-1.0,2.10697748751e-12
90,"(8, 9, 3, 2)",1.52199901238e-14,6.23101537012e-15
91,"(5, 7, 8, 6)",-1.0,2.84434299752e-14
92,"(1, 9, 5, 3)",-1.0,2.39805135159e-13
93,"(5, 1, 6, 2)",-1.0,1.83547658694e-16
94,"(8, 1, 6, 2)",8.72833559123e-17,7.5606063029e-16
95,"(5, 2, 6, 7)",-1.0,1.0419617399e-17
96,"(8, 1, 6, 7)",9.86997366023e-14,6.80404188409e-15
97,"(9, 1, 6, 7)",1.95291157931e-16,4.3961093337e-17
98,"(9, 1, 6, 2)",1.72702260726e-19,4.88492759199e-18
99,"(1, 9, 3, 7)",9.20181402599e-13,3.25646499272e-15
100,"(5, 9, 8, 6)",-1.0,5.57446654069e-14
101,"(5, 9, 6, 3)",-1.0,3.60167747457e-16
102,"(1, 2, 8, 7)",1.19887859759e-12,2.85767743978e-14
