,element,pos_prob,pri_prob
0,"(9, 2, 8, 1)",-1.0,7.75295240492e-51
1,"(3, 7, 4, 8)",-1.0,6.59140741827e-55
2,"(7, 8, 4, 1)",-1.0,3.07599012853e-55
3,"(3, 7, 4, 1)",5.40599757035e-58,4.15180613396e-57
4,"(3, 2, 8, 1)",-1.0,5.93226667643e-54
5,"(7, 2, 3, 6)",8.27448607713e-59,2.11826843569e-57
6,"(7, 8, 3, 1)",-1.0,5.04349627547e-58
7,"(9, 7, 8, 1)",-1.0,6.59140741826e-55
8,"(9, 2, 4, 8)",-1.0,1.01324290143e-47
9,"(9, 8, 3, 6)",-1.0,1.41244444677e-54
10,"(9, 8, 4, 6)",-1.0,8.61439156104e-52
11,"(9, 2, 8, 6)",-1.0,1.84594104879e-51
12,"(7, 2, 8, 1)",-1.0,6.59140741826e-55
13,"(3, 8, 4, 6)",-1.0,6.59140741827e-55
14,"(7, 2, 3, 8)",-1.0,1.41244444677e-54
15,"(7, 8, 4, 6)",-1.0,7.3237860203e-56
16,"(7, 2, 4, 8)",-1.0,8.61439156104e-52
17,"(9, 7, 8, 6)",-1.0,1.56938271863e-55
18,"(7, 8, 3, 6)",-1.0,1.20083244654e-58
19,"(7, 2, 3, 1)",1.1584280508e-57,8.89672742989e-57
20,"(3, 2, 4, 8)",-1.0,7.75295240494e-51
21,"(3, 8, 4, 1)",-1.0,2.76839111567e-54
22,"(3, 7, 8, 1)",-1.0,5.04349627547e-58
23,"(9, 7, 3, 8)",-1.0,1.41244444677e-54
24,"(9, 7, 4, 8)",-1.0,8.61439156104e-52
25,"(3, 2, 8, 6)",-1.0,1.41244444677e-54
26,"(3, 7, 4, 6)",3.86142683596e-59,9.8852526999e-58
27,"(9, 8, 3, 1)",-1.0,5.93226667643e-54
28,"(3, 7, 8, 6)",-1.0,1.20083244654e-58
