,element,pos_prob,pri_prob
0,"(9, 8, 3, 6)",-1.0,9.81457368658e-44
1,"(7, 6, 4, 8)",-1.0,6.8689102473e-47
2,"(3, 2, 8, 1)",-1.0,9.81457371088e-44
3,"(7, 6, 2, 1)",3.47738584996e-46,6.86891024263e-47
4,"(9, 8, 4, 6)",-1.0,8.07935705818e-43
5,"(9, 2, 8, 6)",-1.0,7.27142134736e-42
6,"(9, 7, 3, 1)",6.1341086048e-45,1.09050818741e-44
7,"(9, 7, 3, 6)",4.86834016247e-46,2.59644806526e-45
8,"(7, 2, 4, 8)",-1.0,1.92365644719e-43
9,"(7, 8, 2, 3)",-1.0,2.3368032645e-44
10,"(7, 6, 8, 1)",-1.0,9.2712858329e-49
11,"(9, 8, 2, 1)",-1.0,3.05399696589e-41
12,"(1, 8, 4, 3)",-1.0,1.09050819085e-44
13,"(3, 7, 8, 1)",-1.0,3.5045460448e-47
14,"(1, 6, 4, 3)",5.40926682131e-47,2.88494230386e-46
15,"(9, 7, 8, 3)",-1.0,9.81457368658e-44
16,"(1, 6, 8, 3)",-1.0,3.5045460448e-47
17,"(1, 7, 4, 8)",-1.0,2.88494230386e-46
18,"(9, 7, 2, 6)",3.24617030739e-43,1.92365644112e-43
19,"(3, 7, 4, 8)",-1.0,2.59644807345e-45
20,"(3, 7, 2, 1)",1.31445185121e-44,2.59644807169e-45
21,"(3, 7, 4, 1)",1.62278004647e-46,2.88494230386e-46
22,"(1, 7, 8, 6)",-1.0,9.2712858329e-49
23,"(7, 8, 3, 1)",-1.0,3.5045460448e-47
24,"(1, 6, 4, 8)",-1.0,2.88494230386e-46
25,"(3, 8, 2, 6)",-1.0,2.3368032645e-44
26,"(1, 6, 3, 8)",-1.0,3.5045460448e-47
27,"(7, 2, 3, 8)",-1.0,2.3368032645e-44
28,"(3, 8, 4, 6)",-1.0,2.59644807345e-45
29,"(9, 6, 3, 8)",-1.0,9.81457368658e-44
30,"(1, 7, 3, 6)",5.21509828167e-49,9.2712858329e-49
