,element,pos_prob,pri_prob
0,"(9, 8, 3, 6)",-1.0,7.94980463409e-42
1,"(7, 6, 4, 8)",-1.0,5.56381729923e-45
2,"(3, 2, 8, 1)",-1.0,7.94980469316e-42
3,"(7, 6, 2, 1)",3.12964726498e-45,5.5638172879e-45
4,"(9, 8, 4, 6)",-1.0,6.5442791733e-41
5,"(9, 2, 8, 6)",-1.0,5.88985124381e-40
6,"(9, 7, 3, 1)",1.65620942442e-43,8.83311626035e-43
7,"(9, 7, 3, 6)",1.18300673173e-43,2.10312291914e-43
8,"(7, 2, 4, 8)",-1.0,1.55816171951e-41
9,"(7, 8, 2, 3)",-1.0,1.89281064123e-42
10,"(7, 6, 8, 1)",-1.0,7.50974152447e-47
11,"(9, 8, 2, 1)",-1.0,2.47373752239e-39
12,"(1, 2, 3, 6)",3.54901999849e-43,2.10312293476e-43
13,"(1, 8, 4, 3)",-1.0,8.83311634396e-43
14,"(3, 7, 8, 1)",-1.0,2.83868229616e-45
15,"(1, 6, 4, 3)",1.31445183805e-44,2.33680326567e-44
16,"(9, 7, 8, 3)",-1.0,7.94980463409e-42
17,"(1, 6, 8, 3)",-1.0,2.83868229616e-45
18,"(1, 7, 4, 8)",-1.0,2.33680326567e-44
19,"(9, 7, 2, 6)",8.76466036443e-42,1.55816170476e-41
20,"(3, 7, 4, 8)",-1.0,2.10312293904e-43
21,"(3, 7, 2, 1)",1.1830066662e-43,2.10312293476e-43
22,"(3, 7, 4, 1)",4.38150612702e-45,2.33680326567e-44
23,"(1, 7, 8, 6)",-1.0,7.50974152447e-47
24,"(7, 8, 3, 1)",-1.0,2.83868229616e-45
25,"(1, 6, 4, 8)",-1.0,2.33680326567e-44
26,"(3, 8, 2, 6)",-1.0,1.89281064123e-42
27,"(1, 6, 3, 8)",-1.0,2.83868229616e-45
28,"(3, 8, 4, 6)",-1.0,2.10312293904e-43
29,"(9, 6, 3, 8)",-1.0,7.94980463409e-42
30,"(1, 7, 3, 6)",4.22422960861e-47,7.50974152447e-47
31,"(1, 2, 4, 8)",-1.0,6.54427922192e-41
32,"(9, 6, 3, 1)",4.96862827305e-43,8.83311626035e-43
33,"(1, 7, 3, 8)",-1.0,2.83868229616e-45
34,"(1, 7, 2, 8)",-1.0,2.10312293476e-43
35,"(3, 2, 4, 8)",-1.0,5.88985129957e-40
36,"(7, 6, 2, 3)",8.4500476165e-44,5.00743555897e-44
37,"(9, 7, 3, 8)",-1.0,7.94980463409e-42
38,"(1, 6, 2, 3)",3.54901999845e-43,2.10312293476e-43
39,"(9, 8, 2, 6)",-1.0,5.88985124381e-40
40,"(7, 8, 2, 1)",-1.0,2.10312293476e-43
41,"(9, 6, 8, 1)",-1.0,8.83311626035e-43
42,"(3, 7, 8, 6)",-1.0,6.75876737183e-46
43,"(7, 2, 8, 3)",-1.0,1.89281064123e-42
44,"(1, 8, 4, 6)",-1.0,2.33680326567e-44
45,"(1, 2, 8, 6)",-1.0,2.10312293476e-43
46,"(1, 7, 2, 6)",3.1296472647e-45,5.5638172879e-45
47,"(1, 2, 8, 3)",-1.0,7.94980469316e-42
48,"(7, 8, 4, 1)",-1.0,2.33680326567e-44
49,"(3, 7, 2, 6)",8.45004761574e-44,5.00743555897e-44
50,"(1, 7, 4, 3)",4.38150612702e-45,2.33680326567e-44
51,"(1, 2, 3, 8)",-1.0,7.94980469316e-42
52,"(7, 8, 3, 6)",-1.0,6.75876737183e-46
53,"(7, 2, 3, 1)",1.18300666632e-43,2.10312293476e-43
54,"(7, 2, 3, 8)",-1.0,1.89281064123e-42
55,"(1, 7, 8, 3)",-1.0,2.83868229616e-45
56,"(3, 8, 4, 1)",-1.0,8.83311634396e-43
57,"(7, 6, 4, 3)",3.12964723387e-45,5.56381729923e-45
58,"(3, 8, 2, 1)",-1.0,7.94980469316e-42
59,"(9, 7, 4, 8)",-1.0,6.5442791733e-41
60,"(3, 2, 8, 6)",-1.0,1.89281064123e-42
61,"(9, 8, 4, 3)",-1.0,2.47373752743e-39
62,"(1, 2, 4, 6)",9.73851087825e-43,1.7312907995e-42
63,"(1, 8, 3, 6)",-1.0,2.83868229616e-45
64,"(9, 2, 8, 1)",-1.0,2.47373752239e-39
65,"(3, 6, 8, 1)",-1.0,2.83868229616e-45
66,"(7, 6, 8, 3)",-1.0,6.75876737183e-46
67,"(3, 7, 2, 8)",-1.0,1.89281064123e-42
68,"(7, 2, 4, 1)",3.24617029318e-43,1.7312907995e-42
69,"(7, 2, 3, 6)",8.45004761659e-44,5.00743555897e-44
70,"(9, 6, 8, 3)",-1.0,7.94980463409e-42
71,"(1, 6, 2, 8)",-1.0,2.10312293476e-43
72,"(9, 2, 4, 8)",-1.0,1.83274265513e-37
73,"(9, 6, 2, 8)",-1.0,5.88985124381e-40
74,"(7, 2, 8, 1)",-1.0,2.10312293476e-43
75,"(7, 8, 4, 6)",-1.0,5.56381729923e-45
76,"(3, 6, 2, 1)",3.54901999845e-43,2.10312293476e-43
77,"(7, 8, 4, 3)",-1.0,2.10312293904e-43
78,"(1, 7, 2, 3)",1.1830066662e-43,2.10312293476e-43
79,"(9, 7, 8, 6)",-1.0,2.10312291914e-43
80,"(3, 6, 4, 1)",1.31445183805e-44,2.33680326567e-44
81,"(9, 7, 8, 1)",-1.0,8.83311626035e-43
82,"(1, 8, 2, 6)",-1.0,2.10312293476e-43
83,"(3, 6, 2, 8)",-1.0,1.89281064123e-42
84,"(7, 6, 3, 8)",-1.0,6.75876737183e-46
85,"(1, 8, 2, 3)",-1.0,7.94980469316e-42
86,"(9, 6, 4, 8)",-1.0,6.5442791733e-41
87,"(3, 6, 4, 8)",-1.0,2.10312293904e-43
88,"(9, 7, 2, 8)",-1.0,5.88985124381e-40
89,"(7, 6, 3, 1)",4.22422960899e-47,7.50974152447e-47
90,"(9, 6, 4, 3)",3.6811573163e-41,6.5442791733e-41
91,"(3, 7, 4, 6)",3.12964723359e-45,5.56381729923e-45
92,"(9, 8, 3, 1)",-1.0,3.33891794631e-41
