,element,pos_prob,pri_prob
0,"(9, 8, 3, 6)",-1.0,8.90210767996e-48
1,"(7, 6, 4, 8)",-1.0,2.61672771346e-50
2,"(3, 2, 8, 1)",-1.0,8.90210767996e-48
3,"(7, 6, 2, 1)",8.11237513215e-52,6.23030407882e-51
4,"(9, 8, 4, 6)",-1.0,3.07785031765e-46
5,"(9, 2, 8, 6)",-1.0,2.7700652855e-45
6,"(9, 7, 3, 6)",7.30113760541e-52,5.60727367093e-50
7,"(7, 2, 4, 8)",-1.0,7.32821504202e-47
8,"(7, 8, 2, 3)",-1.0,2.11954944761e-48
9,"(7, 6, 8, 1)",-1.0,8.40932955373e-53
10,"(9, 8, 2, 1)",-1.0,2.7700652855e-45
11,"(1, 8, 4, 3)",-1.0,9.89123075687e-49
12,"(3, 7, 8, 1)",-1.0,7.56839659836e-52
13,"(1, 6, 4, 3)",1.02215926314e-50,2.61672771346e-50
14,"(9, 7, 8, 3)",-1.0,2.11954944761e-48
15,"(1, 6, 8, 3)",-1.0,3.17872657131e-51
16,"(1, 7, 4, 8)",-1.0,2.61672771346e-50
17,"(9, 7, 2, 6)",7.57297358708e-49,1.74481310501e-47
18,"(3, 7, 4, 8)",-1.0,2.35505494211e-49
19,"(3, 7, 2, 1)",2.19034128569e-51,5.60727367093e-50
20,"(3, 7, 4, 1)",2.43371253128e-52,6.23030407967e-51
21,"(1, 7, 8, 6)",-1.0,8.40932955373e-53
22,"(7, 8, 3, 1)",-1.0,7.56839659836e-52
23,"(1, 6, 4, 8)",-1.0,1.09902563965e-49
24,"(3, 8, 2, 6)",-1.0,8.90210767996e-48
25,"(1, 6, 3, 8)",-1.0,3.17872657131e-51
26,"(3, 8, 4, 6)",-1.0,9.89123075687e-49
27,"(9, 6, 3, 8)",-1.0,8.90210767996e-48
28,"(3, 7, 2, 6)",7.30113761898e-51,5.60727367093e-50
29,"(1, 7, 3, 6)",7.82117704037e-55,2.00222132232e-53
30,"(1, 2, 4, 8)",-1.0,3.07785031765e-46
31,"(9, 6, 3, 1)",3.06647779427e-51,2.35505494179e-49
32,"(1, 7, 3, 8)",-1.0,7.56839659836e-52
33,"(1, 7, 2, 8)",-1.0,2.35505494179e-49
34,"(3, 2, 4, 8)",-1.0,2.77006528588e-45
35,"(7, 6, 2, 3)",2.19034128569e-50,5.60727367093e-50
36,"(9, 7, 3, 8)",-1.0,2.11954944761e-48
37,"(1, 6, 2, 3)",9.19943339991e-50,2.35505494179e-49
38,"(9, 8, 2, 6)",-1.0,2.7700652855e-45
39,"(7, 8, 2, 1)",-1.0,2.35505494179e-49
40,"(9, 6, 8, 1)",-1.0,9.89123075551e-49
41,"(3, 7, 8, 6)",-1.0,7.56839659836e-52
42,"(7, 2, 8, 3)",-1.0,2.11954944761e-48
43,"(1, 8, 4, 6)",-1.0,1.09902563965e-49
44,"(1, 2, 8, 6)",-1.0,9.89123075551e-49
45,"(1, 7, 2, 6)",8.11237513215e-52,6.23030407882e-51
46,"(1, 2, 8, 3)",-1.0,8.90210767996e-48
47,"(7, 8, 4, 1)",-1.0,2.61672771346e-50
48,"(7, 2, 3, 8)",-1.0,2.11954944761e-48
49,"(1, 7, 4, 3)",7.30113759385e-52,6.23030407967e-51
50,"(1, 2, 3, 8)",-1.0,8.90210767996e-48
51,"(7, 8, 3, 6)",-1.0,7.56839659836e-52
52,"(7, 2, 3, 1)",2.19034128569e-51,5.60727367093e-50
53,"(1, 2, 3, 6)",3.06647779997e-50,2.35505494179e-49
54,"(1, 7, 8, 3)",-1.0,7.56839659836e-52
55,"(3, 8, 4, 1)",-1.0,9.89123075687e-49
56,"(7, 6, 4, 3)",2.43371253128e-51,6.23030407967e-51
57,"(3, 8, 2, 1)",-1.0,8.90210767996e-48
58,"(9, 7, 4, 8)",-1.0,7.32821504202e-47
59,"(3, 2, 8, 6)",-1.0,8.90210767996e-48
60,"(9, 8, 4, 3)",-1.0,2.77006528588e-45
61,"(1, 8, 3, 6)",-1.0,3.17872657131e-51
62,"(9, 2, 8, 1)",-1.0,2.7700652855e-45
63,"(3, 6, 8, 1)",-1.0,3.17872657131e-51
64,"(7, 6, 8, 3)",-1.0,7.56839659836e-52
65,"(3, 7, 2, 8)",-1.0,2.11954944761e-48
66,"(7, 2, 4, 1)",2.52432452503e-49,1.93868122805e-48
67,"(7, 2, 3, 6)",7.30113761898e-51,5.60727367093e-50
68,"(9, 6, 8, 3)",-1.0,8.90210767996e-48
69,"(1, 6, 2, 8)",-1.0,9.89123075551e-49
70,"(9, 2, 4, 8)",-1.0,8.61960106849e-43
71,"(9, 6, 2, 8)",-1.0,2.7700652855e-45
72,"(7, 2, 8, 1)",-1.0,2.35505494179e-49
73,"(7, 8, 4, 6)",-1.0,2.61672771346e-50
74,"(3, 6, 2, 1)",3.06647779997e-50,2.35505494179e-49
75,"(7, 8, 4, 3)",-1.0,2.35505494211e-49
76,"(1, 7, 2, 3)",6.57102385708e-51,5.60727367093e-50
77,"(9, 7, 8, 6)",-1.0,2.35505494179e-49
78,"(3, 6, 4, 1)",3.4071975438e-51,2.61672771346e-50
79,"(9, 7, 8, 1)",-1.0,2.35505494179e-49
80,"(1, 8, 2, 6)",-1.0,9.89123075551e-49
81,"(3, 6, 2, 8)",-1.0,8.90210767996e-48
82,"(7, 6, 3, 8)",-1.0,7.56839659836e-52
83,"(1, 8, 2, 3)",-1.0,8.90210767996e-48
84,"(9, 6, 4, 8)",-1.0,3.07785031765e-46
85,"(3, 6, 4, 8)",-1.0,9.89123075687e-49
86,"(9, 7, 2, 8)",-1.0,6.59539353691e-46
87,"(7, 6, 3, 1)",7.82117704037e-55,2.00222132232e-53
88,"(3, 7, 4, 6)",8.11237510428e-52,6.23030407967e-51
89,"(9, 8, 3, 1)",-1.0,8.90210767996e-48
