,element,pos_prob,pri_prob
0,"(5, 2, 8, 3)",-1.0,1.30107907206e-17
1,"(9, 2, 3, 7)",1.28531575868e-21,1.10917234218e-21
2,"(9, 1, 8, 2)",3.6259142679e-19,7.38854110642e-19
3,"(5, 7, 8, 2)",-1.0,1.58059554618e-18
4,"(5, 7, 6, 3)",-1.0,4.18343632952e-20
5,"(8, 2, 6, 3)",1.82339765969e-22,2.63954595718e-22
6,"(8, 9, 3, 7)",1.20108499182e-18,3.10462473003e-18
7,"(8, 1, 6, 3)",1.42006534408e-18,7.38821132034e-19
8,"(1, 9, 5, 6)",-1.0,7.37606305309e-19
9,"(5, 1, 6, 7)",-1.0,3.7633232706e-19
10,"(9, 2, 8, 3)",8.52692136186e-19,8.21335002713e-20
11,"(9, 7, 3, 6)",2.7542459733e-21,2.64088690905e-22
12,"(9, 2, 6, 7)",1.67093197672e-26,8.48746673734e-25
13,"(1, 9, 3, 2)",7.90061224797e-19,8.21335002713e-20
14,"(5, 9, 6, 2)",-1.0,2.635205812e-22
15,"(9, 7, 5, 2)",-1.0,4.18362306471e-20
16,"(8, 9, 6, 7)",1.56143057148e-23,2.37568122879e-21
17,"(8, 2, 5, 7)",-1.0,1.58059554618e-18
18,"(5, 1, 3, 2)",-1.0,1.30107907206e-17
19,"(5, 1, 3, 7)",-1.0,4.9180447071e-16
20,"(1, 9, 8, 7)",4.61560432527e-18,2.79284912514e-17
21,"(5, 7, 3, 6)",-1.0,4.18343632952e-20
22,"(9, 7, 8, 3)",9.7460359823e-17,3.10462473003e-18
23,"(9, 1, 8, 7)",4.60480306847e-18,2.79284912514e-17
24,"(9, 1, 5, 6)",-1.0,7.37606305309e-19
25,"(8, 2, 3, 6)",1.82339794671e-22,2.63954595718e-22
26,"(5, 1, 8, 6)",-1.0,2.78671673565e-17
27,"(1, 2, 6, 3)",1.52321753585e-21,2.63954595718e-22
28,"(1, 2, 5, 3)",-1.0,1.30107907206e-17
29,"(8, 1, 5, 6)",-1.0,2.78671673565e-17
30,"(1, 9, 6, 3)",1.88109768052e-19,1.9555598117e-20
31,"(1, 2, 3, 7)",8.12465373733e-20,4.1905134303e-20
32,"(8, 1, 3, 2)",5.96427594725e-18,3.10304830797e-18
33,"(5, 9, 3, 6)",-1.0,8.19947900467e-20
34,"(1, 7, 8, 6)",8.00888477532e-20,8.97545288211e-20
35,"(9, 1, 5, 2)",-1.0,3.09794603646e-18
36,"(9, 2, 5, 7)",-1.0,4.18362306471e-20
37,"(5, 2, 8, 6)",-1.0,9.95595087154e-21
38,"(8, 9, 5, 7)",-1.0,1.17101546206e-16
39,"(8, 9, 5, 2)",-1.0,3.09794603646e-18
40,"(1, 7, 3, 6)",1.74099591399e-19,9.97741436517e-21
41,"(5, 7, 6, 2)",-1.0,1.3445019767e-22
42,"(1, 9, 5, 2)",-1.0,3.09794603646e-18
43,"(1, 9, 5, 7)",-1.0,1.17101546206e-16
44,"(5, 1, 6, 3)",-1.0,3.09780776025e-18
45,"(5, 2, 6, 3)",-1.0,1.10673688057e-21
46,"(9, 2, 8, 7)",5.91267660561e-22,9.97785972497e-21
47,"(9, 7, 3, 2)",1.15678341804e-20,1.10917234218e-21
48,"(1, 7, 5, 2)",-1.0,1.58059554618e-18
49,"(8, 7, 6, 3)",2.08409324389e-20,9.97741436517e-21
50,"(1, 9, 3, 6)",1.88109797662e-19,1.9555598117e-20
51,"(9, 7, 5, 6)",-1.0,9.96100873044e-21
52,"(5, 9, 8, 7)",-1.0,1.17101546206e-16
53,"(9, 7, 5, 3)",-1.0,1.30174005105e-17
54,"(5, 9, 8, 2)",-1.0,3.09794603646e-18
55,"(1, 7, 5, 6)",-1.0,3.7633232706e-19
56,"(8, 2, 5, 3)",-1.0,1.30107907206e-17
57,"(5, 9, 6, 7)",-1.0,9.96100873044e-21
58,"(1, 2, 8, 6)",7.00706736559e-22,2.37447493927e-21
59,"(1, 2, 8, 3)",5.38998164793e-17,3.10304830797e-18
60,"(5, 2, 3, 7)",-1.0,1.75704300554e-19
61,"(9, 7, 8, 2)",5.32140542697e-21,9.97785972497e-21
62,"(9, 1, 5, 7)",-1.0,1.17101546206e-16
63,"(8, 2, 3, 7)",9.72577735081e-21,4.1905134303e-20
64,"(8, 7, 3, 2)",8.75319382882e-20,4.1905134303e-20
65,"(1, 2, 5, 7)",-1.0,1.58059554618e-18
66,"(9, 1, 6, 3)",1.87669560927e-19,1.9555598117e-20
67,"(8, 7, 5, 3)",-1.0,4.9180447071e-16
68,"(5, 1, 8, 3)",-1.0,3.64178055046e-14
69,"(8, 7, 5, 6)",-1.0,3.7633232706e-19
70,"(1, 9, 6, 7)",1.30437725135e-22,2.37568122879e-21
71,"(1, 9, 6, 2)",1.02709280204e-23,6.28491466174e-23
72,"(1, 2, 3, 6)",1.52321777561e-21,2.63954595718e-22
73,"(5, 9, 3, 2)",-1.0,3.44378068636e-19
74,"(8, 1, 5, 3)",-1.0,3.64178055046e-14
75,"(5, 9, 3, 7)",-1.0,1.30174005105e-17
76,"(8, 1, 3, 7)",7.57445271837e-17,1.17294410729e-16
77,"(9, 2, 5, 6)",-1.0,2.635205812e-22
78,"(9, 7, 6, 3)",2.75424553976e-21,2.64088690905e-22
79,"(1, 7, 8, 3)",6.16060039203e-15,1.17294410729e-16
80,"(9, 1, 3, 6)",1.87669590467e-19,1.9555598117e-20
81,"(5, 2, 3, 6)",-1.0,1.10673688057e-21
82,"(5, 2, 8, 7)",-1.0,1.58059554618e-18
83,"(8, 9, 5, 6)",-1.0,7.37606305309e-19
